date,tournament,series,court,surface,round,bestof,winner,loser,wrank,lrank,comment,b365w,b365l,psw,psl,maxw,maxl,avgw,avgl,avgsrc
2020-01-06,Qatar Exxon Mobil Open,ATP250,Outdoor,Hard,1st Round,3,Bedene A.,Ymer M.,58,76,Completed,1.83,1.83,1.97,1.92,2,2.07,1.87,1.92,file
2020-01-06,Qatar Exxon Mobil Open,ATP250,Outdoor,Hard,1st Round,3,Bublik A.,Mannarino A.,55,43,Completed,2,1.72,2.21,1.74,2.25,1.8,2.11,1.72,file
2020-01-06,Qatar Exxon Mobil Open,ATP250,Outdoor,Hard,1st Round,3,Chardy J.,Barrere G.,54,83,Completed,1.5,2.5,1.54,2.62,1.57,2.65,1.53,2.47,file
2020-01-06,Qatar Exxon Mobil Open,ATP250,Outdoor,Hard,1st Round,3,Kecmanovic M.,Thompson J.,62,63,Completed,1.66,2.1,1.74,2.21,1.8,2.3,1.72,2.11,file
2020-01-06,Qatar Exxon Mobil Open,ATP250,Outdoor,Hard,1st Round,3,Krajinovic F.,Edmund K.,40,69,Completed,1.83,1.83,1.9,1.99,2.23,2.1,1.88,1.92,file
2020-01-06,Qatar Exxon Mobil Open,ATP250,Outdoor,Hard,1st Round,3,Moutet C.,Sandgren T.,81,68,Completed,1.57,2.25,1.6,2.47,1.65,2.47,1.59,2.34,file
2020-01-06,Qatar Exxon Mobil Open,ATP250,Outdoor,Hard,1st Round,3,Verdasco F.,Andujar P.,49,64,Completed,1.25,3.75,1.31,3.74,1.33,3.85,1.29,3.53,file
2020-01-07,Qatar Exxon Mobil Open,ATP250,Outdoor,Hard,2nd Round,3,Bedene A.,Bublik A.,58,55,Completed,1.66,2.1,1.83,2.09,1.83,2.2,1.75,2.06,file
2020-01-07,Qatar Exxon Mobil Open,ATP250,Outdoor,Hard,1st Round,3,Djere L.,Sonego L.,39,51,Completed,3,1.36,3.18,1.4,3.2,1.43,3.03,1.37,file
2020-01-07,Qatar Exxon Mobil Open,ATP250,Outdoor,Hard,1st Round,3,Fucsovics M.,Tiafoe F.,70,47,Completed,2,1.72,2.03,1.86,2.1,1.87,2.01,1.78,file
2020-01-07,Qatar Exxon Mobil Open,ATP250,Outdoor,Hard,1st Round,3,Herbert P.H.,Cecchinato M.,65,75,Completed,1.53,2.37,1.57,2.55,1.62,2.7,1.54,2.44,file
2020-01-07,Qatar Exxon Mobil Open,ATP250,Outdoor,Hard,1st Round,3,Ilkel C.,Berankis R.,279,67,Completed,3.5,1.28,3.34,1.37,4.2,1.4,3.72,1.27,file
2020-01-07,Qatar Exxon Mobil Open,ATP250,Outdoor,Hard,1st Round,3,Kukushkin M.,Jaziri M.,66,229,Completed,1.28,3.5,1.31,3.74,1.33,4,1.29,3.54,file
2020-01-07,Qatar Exxon Mobil Open,ATP250,Outdoor,Hard,2nd Round,3,Wawrinka S.,Chardy J.,15,54,Completed,1.3,3.4,1.43,3.08,1.45,3.46,1.36,3.08,file
2020-01-08,Qatar Exxon Mobil Open,ATP250,Outdoor,Hard,2nd Round,3,Fucsovics M.,Ilkel C.,70,279,Completed,1.16,5,1.26,4.34,1.26,5.35,1.18,4.82,file
2020-01-08,Qatar Exxon Mobil Open,ATP250,Outdoor,Hard,2nd Round,3,Herbert P.H.,Djere L.,65,39,Completed,1.44,2.62,1.45,2.99,1.57,2.99,1.49,2.59,file
2020-01-08,Qatar Exxon Mobil Open,ATP250,Outdoor,Hard,2nd Round,3,Kecmanovic M.,Tsonga J.W.,62,30,Completed,2.1,1.66,2.48,1.61,2.5,1.72,2.29,1.61,file
2020-01-08,Qatar Exxon Mobil Open,ATP250,Outdoor,Hard,2nd Round,3,Moutet C.,Raonic M.,81,32,Completed,2.75,1.4,2.9,1.47,2.9,1.51,2.72,1.45,file
2020-01-08,Qatar Exxon Mobil Open,ATP250,Outdoor,Hard,2nd Round,3,Rublev A.,Kukushkin M.,23,66,Completed,1.3,3.4,1.29,4.01,1.33,4.07,1.28,3.69,file
2020-01-08,Qatar Exxon Mobil Open,ATP250,Outdoor,Hard,2nd Round,3,Verdasco F.,Krajinovic F.,49,40,Completed,2.25,1.57,2.4,1.65,2.4,1.67,2.32,1.6,file
2020-01-09,Qatar Exxon Mobil Open,ATP250,Outdoor,Hard,Quarterfinals,3,Kecmanovic M.,Fucsovics M.,62,70,Completed,1.61,2.3,1.69,2.34,1.71,2.34,1.63,2.27,file
2020-01-10,Qatar Exxon Mobil Open,ATP250,Outdoor,Hard,Quarterfinals,3,Moutet C.,Verdasco F.,81,49,Completed,2.3,1.61,2.56,1.59,2.56,1.63,2.38,1.58,file
2020-01-10,Qatar Exxon Mobil Open,ATP250,Outdoor,Hard,Semifinals,3,Moutet C.,Wawrinka S.,81,15,Completed,3.5,1.3,4.3,1.26,4.3,1.33,3.79,1.26,file
2020-01-10,Qatar Exxon Mobil Open,ATP250,Outdoor,Hard,Quarterfinals,3,Rublev A.,Herbert P.H.,23,65,Completed,1.25,4,1.32,3.79,1.32,4.03,1.26,3.79,file
2020-01-10,Qatar Exxon Mobil Open,ATP250,Outdoor,Hard,Semifinals,3,Rublev A.,Kecmanovic M.,23,62,Completed,1.66,2.2,1.63,2.44,1.8,2.44,1.67,2.2,file
2020-01-10,Qatar Exxon Mobil Open,ATP250,Outdoor,Hard,Quarterfinals,3,Wawrinka S.,Bedene A.,15,58,Completed,1.33,3.4,1.35,3.6,1.4,3.65,1.33,3.27,file
2020-01-11,Qatar Exxon Mobil Open,ATP250,Outdoor,Hard,The Final,3,Rublev A.,Moutet C.,23,81,Completed,1.22,4.33,1.25,4.5,1.27,4.5,1.22,4.18,file
2020-01-12,ASB Classic,ATP250,Outdoor,Hard,1st Round,3,Bublik A.,Fritz T.,55,32,Completed,2.25,1.57,2.48,1.6,2.5,1.63,2.36,1.57,file
2020-01-12,ASB Classic,ATP250,Outdoor,Hard,1st Round,3,Cuevas P.,Opelka R.,44,38,Completed,3.5,1.28,3.79,1.31,3.79,1.35,3.34,1.32,file
2020-01-12,ASB Classic,ATP250,Outdoor,Hard,1st Round,3,Djere L.,Popyrin A.,40,95,Completed,3,1.36,3.16,1.4,3.35,1.4,3.06,1.37,file
2020-01-13,ASB Classic,ATP250,Outdoor,Hard,1st Round,3,Chardy J.,Simon G.,56,60,Completed,1.66,2.1,1.76,2.17,1.77,2.29,1.7,2.13,file
2020-01-13,ASB Classic,ATP250,Outdoor,Hard,1st Round,3,Duckworth J.,Delbonis F.,96,73,Completed,1.72,2,1.75,2.19,1.8,2.19,1.73,2.09,file
2020-01-13,ASB Classic,ATP250,Outdoor,Hard,1st Round,3,Evans D.,Londero J.I.,33,51,Completed,1.36,3,1.31,3.8,1.4,4.12,1.3,3.46,file
2020-01-13,ASB Classic,ATP250,Outdoor,Hard,1st Round,3,Harris L.,Garin C.,91,36,Completed,1.83,1.83,1.81,2.1,1.92,2.1,1.82,1.97,file
2020-01-13,ASB Classic,ATP250,Outdoor,Hard,1st Round,3,Querrey S.,Barrere G.,45,82,Completed,1.57,2.25,1.63,2.42,1.68,2.65,1.59,2.33,file
2020-01-13,Adelaide International,ATP250,Outdoor,Hard,1st Round,3,Humbert U.,Ruud C.,57,46,Completed,1.83,1.83,2.03,1.86,2.1,1.92,1.96,1.83,file
2020-01-13,Adelaide International,ATP250,Outdoor,Hard,1st Round,3,Hurkacz H.,Sonego L.,34,52,Completed,1.33,3.25,1.31,3.74,1.37,3.74,1.32,3.35,file
2020-01-13,Adelaide International,ATP250,Outdoor,Hard,1st Round,3,Monteiro T.,Norrie C.,86,62,Completed,2,1.72,2.35,1.65,2.35,1.75,2.21,1.66,file
2020-01-13,Adelaide International,ATP250,Outdoor,Hard,1st Round,3,Paire B.,Sinner J.,24,79,Completed,2.1,1.66,2.27,1.7,2.27,1.87,2.1,1.73,file
2020-01-13,Adelaide International,ATP250,Outdoor,Hard,1st Round,3,Sandgren T.,Venus M.,101,N/A,Completed,1.2,4.33,1.21,4.99,1.27,4.99,1.2,4.5,file
2020-01-13,Adelaide International,ATP250,Outdoor,Hard,1st Round,3,Ymer M.,Tiafoe F.,77,49,Completed,2,1.72,2.07,1.83,2.2,1.85,2.01,1.78,file
