date,tournament,series,court,surface,round,bestof,winner,loser,wrank,lrank,comment,b365w,b365l,psw,psl,maxw,maxl,avgw,avgl,avgsrc
2017-12-31,Brisbane International,ATP250,Outdoor,Hard,1st Round,3,De Minaur A.,Johnson S.,209,44,Completed,2.75,1.4,3.14,1.41,3.25,1.44,2.96,1.39,file
2017-12-31,Brisbane International,ATP250,Outdoor,Hard,1st Round,3,Dolgopolov O.,Schwartzman D.,169,26,Completed,2.2,1.61,2.24,1.71,2.29,1.77,2.17,1.68,file
2018-01-01,Brisbane International,ATP250,Outdoor,Hard,1st Round,3,Donaldson J.,Thompson J.,54,94,Completed,1.83,1.83,1.99,1.9,2,2.02,1.89,1.89,file
2018-01-01,Brisbane International,ATP250,Outdoor,Hard,1st Round,3,Ebden M.,Tiafoe F.,76,79,Completed,2.5,1.5,2.38,1.64,2.52,1.65,2.37,1.58,file
2018-01-01,Brisbane International,ATP250,Outdoor,Hard,1st Round,3,Harrison R.,Mayer L.,47,52,Completed,1.61,2.2,1.66,2.35,1.75,2.35,1.67,2.17,file
2018-01-01,Brisbane International,ATP250,Outdoor,Hard,1st Round,3,Zeballos H.,Escobedo E.,66,120,Completed,2.2,1.61,2.22,1.73,2.38,1.75,2.2,1.66,file
2018-01-01,Brisbane International,ATP250,Outdoor,Hard,1st Round,3,Zverev M.,Smith J.P.,33,218,Completed,1.4,2.75,1.44,3,1.57,3,1.44,2.73,file
2018-01-01,Qatar Exxon Mobil Open,ATP250,Outdoor,Hard,1st Round,3,Basilashvili N.,Fabbiano T.,59,73,Completed,1.57,2.25,1.68,2.31,1.77,2.31,1.68,2.16,file
2018-01-01,Qatar Exxon Mobil Open,ATP250,Outdoor,Hard,1st Round,3,Rublev A.,Stebe C.M.,39,82,Retired,1.44,2.62,1.54,2.62,1.57,2.9,1.49,2.59,file
2018-01-01,Qatar Exxon Mobil Open,ATP250,Outdoor,Hard,1st Round,3,Thiem D.,Donskoy E.,5,72,Completed,1.2,4.33,1.22,4.74,1.28,4.85,1.21,4.26,file
2018-01-01,Qatar Exxon Mobil Open,ATP250,Outdoor,Hard,1st Round,3,Tsitsipas S.,Mayer F.,91,69,Completed,1.53,2.37,1.54,2.64,1.57,2.82,1.52,2.49,file
2018-01-01,Qatar Exxon Mobil Open,ATP250,Outdoor,Hard,1st Round,3,Verdasco F.,Sela D.,35,68,Completed,1.36,3,1.41,3.14,1.45,3.32,1.4,2.92,file
