date,tournament,series,court,surface,round,bestof,winner,loser,wrank,lrank,comment,b365w,b365l,psw,psl,maxw,maxl,avgw,avgl,avgsrc
2023-01-01,Adelaide International 1,ATP250,Outdoor,Hard,1st Round,3,Giron M.,Gasquet R.,61,68,Completed,1.91,1.91,1.93,1.95,1.99,1.95,1.89,1.89,file
2023-01-01,Adelaide International 1,ATP250,Outdoor,Hard,1st Round,3,Mcdonald M.,Galan D.E.,63,67,Retired,1.36,3.2,1.39,3.25,1.44,3.4,1.36,3.12,file
2023-01-02,Adelaide International 1,ATP250,Outdoor,Hard,1st Round,3,Draper J.,Kwon S.W.,42,83,Completed,1.67,2.2,1.69,2.29,1.7,2.4,1.65,2.22,file
2023-01-02,Adelaide International 1,ATP250,Outdoor,Hard,1st Round,3,Halys Q.,Thompson J.,64,84,Completed,2.1,1.73,2.14,1.78,2.15,1.83,2.08,1.74,file
2023-01-02,Adelaide International 1,ATP250,Outdoor,Hard,1st Round,3,Kecmanovic M.,O Connell C.,29,78,Completed,1.57,2.38,1.58,2.53,1.64,2.53,1.58,2.36,file
2023-01-02,Adelaide International 1,ATP250,Outdoor,Hard,1st Round,3,Kokkinakis T.,Cressy M.,93,34,Completed,1.91,1.91,1.97,1.92,2,2.12,1.9,1.89,file
2023-01-02,Adelaide International 1,ATP250,Outdoor,Hard,1st Round,3,Nishioka Y.,Rune H.,36,11,Completed,3.75,1.29,4,1.28,4,1.31,3.56,1.29,file
2023-01-02,Adelaide International 1,ATP250,Outdoor,Hard,1st Round,3,Popyrin A.,Auger-Aliassime F.,120,6,Completed,6.5,1.11,6.2,1.15,6.75,1.18,6.04,1.13,file
2023-01-02,Adelaide International 1,ATP250,Outdoor,Hard,1st Round,3,Safiullin R.,Ymer M.,88,69,Completed,2.2,1.67,2.27,1.7,2.36,1.71,2.2,1.65,file
2023-01-02,Maharashtra Open,ATP250,Outdoor,Hard,1st Round,3,Bonzi B.,Tseng C.H.,60,115,Completed,1.4,3,1.43,3.04,1.43,3.1,1.4,2.91,file
2023-01-02,Maharashtra Open,ATP250,Outdoor,Hard,1st Round,3,Carballes Baena R.,Zapata Miralles B.,74,72,Completed,2,1.8,2.08,1.83,2.1,1.83,2.01,1.78,file
2023-01-02,Maharashtra Open,ATP250,Outdoor,Hard,1st Round,3,Cecchinato M.,Basilashvili N.,101,91,Completed,2.75,1.44,2.87,1.47,3,1.47,2.76,1.44,file
2023-01-02,Maharashtra Open,ATP250,Outdoor,Hard,1st Round,3,Djere L.,Molcan A.,70,50,Completed,1.91,1.91,1.89,2,1.95,2,1.88,1.9,file
2023-01-02,Maharashtra Open,ATP250,Outdoor,Hard,1st Round,3,Griekspoor T.,Munar J.,95,58,Completed,1.8,2,1.88,2.01,1.9,2.03,1.82,1.97,file
2023-01-02,Maharashtra Open,ATP250,Outdoor,Hard,1st Round,3,Krajinovic F.,Nagal S.,54,503,Completed,1.25,4,1.28,3.99,1.28,4.33,1.25,3.89,file
2023-01-02,Maharashtra Open,ATP250,Outdoor,Hard,1st Round,3,Mmoh M.,Dhamne M.,113,N/A,Completed,,41,1.01,38.66,1.02,41,1.01,22.04,file
2023-01-03,Adelaide International 1,ATP250,Outdoor,Hard,1st Round,3,Bautista Agut R.,Rublev A.,21,8,Completed,3,1.4,2.72,1.5,3,1.5,2.71,1.46,file
2023-01-03,Adelaide International 1,ATP250,Outdoor,Hard,1st Round,3,Djokovic N.,Lestienne C.,5,65,Completed,1.03,17,1.02,18.89,1.04,18.89,1.02,13.52,file
2023-01-03,Adelaide International 1,ATP250,Outdoor,Hard,1st Round,3,Khachanov K.,Cachin P.,20,57,Completed,1.17,5,1.18,5.52,1.24,5.52,1.18,4.84,file
2023-01-03,Adelaide International 1,ATP250,Outdoor,Hard,1st Round,3,Korda S.,Murray A.,33,49,Completed,1.57,2.38,1.62,2.44,1.63,2.56,1.58,2.36,file
2023-01-03,Adelaide International 1,ATP250,Outdoor,Hard,1st Round,3,Medvedev D.,Sonego L.,7,45,Retired,1.11,6.5,1.13,7.18,1.15,7.18,1.12,6.15,file
2023-01-03,Adelaide International 1,ATP250,Outdoor,Hard,1st Round,3,Shapovalov D.,Hijikata R.,18,164,Completed,1.25,4,1.29,3.96,1.29,4.1,1.26,3.82,file
2023-01-03,Adelaide International 1,ATP250,Outdoor,Hard,1st Round,3,Sinner J.,Edmund K.,15,582,Completed,1.13,6,1.13,7.01,1.15,7.01,1.12,6.04,file
2023-01-03,Maharashtra Open,ATP250,Outdoor,Hard,1st Round,3,Cobolli F.,Mukund S.,171,340,Completed,1.33,3.4,1.37,3.37,1.38,3.53,1.34,3.19,file
2023-01-03,Maharashtra Open,ATP250,Outdoor,Hard,1st Round,3,Karatsev A.,Andujar P.,59,121,Completed,1.3,3.5,1.31,3.79,1.33,3.79,1.29,3.52,file
2023-01-03,Maharashtra Open,ATP250,Outdoor,Hard,1st Round,3,Marterer M.,Ymer E.,159,127,Completed,2.1,1.73,2.06,1.83,2.15,1.83,2.04,1.77,file
2023-01-03,Maharashtra Open,ATP250,Outdoor,Hard,1st Round,3,Martinez P.,Ramanathan R.,62,435,Completed,1.57,2.38,1.66,2.34,1.75,2.4,1.63,2.25,file
2023-01-03,Maharashtra Open,ATP250,Outdoor,Hard,1st Round,3,Van Rijthoven T.,Albot R.,111,103,Completed,1.8,2,1.83,2.08,1.87,2.11,1.79,2.01,file
2023-01-04,Adelaide International 1,ATP250,Outdoor,Hard,2nd Round,3,Khachanov K.,Draper J.,20,42,Completed,2.3,1.62,2.43,1.63,2.46,1.82,2.25,1.63,file
2023-01-04,Adelaide International 1,ATP250,Outdoor,Hard,2nd Round,3,Medvedev D.,Kecmanovic M.,7,29,Completed,1.14,5.5,1.18,5.66,1.18,6,1.16,5.24,file
2023-01-04,Adelaide International 1,ATP250,Outdoor,Hard,2nd Round,3,Nishioka Y.,Mcdonald M.,36,63,Completed,1.62,2.3,1.69,2.31,1.7,2.45,1.64,2.24,file
2023-01-04,Adelaide International 1,ATP250,Outdoor,Hard,2nd Round,3,Popyrin A.,Giron M.,120,61,Completed,1.73,2.1,1.78,2.17,1.85,2.22,1.74,2.09,file
2023-01-04,Maharashtra Open,ATP250,Outdoor,Hard,2nd Round,3,Bonzi B.,Ruusuvuori E.,60,40,Completed,2.3,1.62,2.3,1.69,2.45,1.7,2.27,1.62,file
2023-01-04,Maharashtra Open,ATP250,Outdoor,Hard,2nd Round,3,Cilic M.,Carballes Baena R.,17,74,Completed,1.22,4.33,1.23,4.68,1.25,4.68,1.21,4.28,file
2023-01-04,Maharashtra Open,ATP250,Outdoor,Hard,2nd Round,3,Griekspoor T.,Cecchinato M.,95,101,Completed,1.33,3.4,1.31,3.85,1.36,3.85,1.29,3.52,file
2023-01-04,Maharashtra Open,ATP250,Outdoor,Hard,2nd Round,3,Karatsev A.,Van Rijthoven T.,59,111,Completed,1.57,2.38,1.74,2.23,1.76,2.38,1.67,2.19,file
2023-01-04,Maharashtra Open,ATP250,Outdoor,Hard,2nd Round,3,Krajinovic F.,Mmoh M.,54,113,Completed,1.8,2,1.86,2.05,1.86,2.16,1.79,2.01,file
2023-01-04,Maharashtra Open,ATP250,Outdoor,Hard,2nd Round,3,Marterer M.,Djere L.,159,70,Completed,2.38,1.57,2.36,1.67,2.58,1.67,2.38,1.56,file
2023-01-04,Maharashtra Open,ATP250,Outdoor,Hard,2nd Round,3,Martinez P.,Baez S.,62,43,Completed,1.91,1.91,1.97,1.93,1.97,1.95,1.91,1.88,file
2023-01-04,Maharashtra Open,ATP250,Outdoor,Hard,2nd Round,3,Van De Zandschulp B.,Cobolli F.,35,171,Completed,1.29,3.75,1.29,3.97,1.3,4.04,1.27,3.72,file
2023-01-05,Adelaide International 1,ATP250,Outdoor,Hard,2nd Round,3,Djokovic N.,Halys Q.,5,64,Completed,1.03,15,1.04,19.16,1.03,20.42,1.02,14.1,file
2023-01-05,Adelaide International 1,ATP250,Outdoor,Hard,2nd Round,3,Korda S.,Bautista Agut R.,33,21,Completed,1.8,2,1.85,2.06,1.85,2.24,1.79,2.01,file
2023-01-05,Adelaide International 1,ATP250,Outdoor,Hard,2nd Round,3,Shapovalov D.,Safiullin R.,18,88,Completed,1.4,3,1.51,2.78,1.51,3.02,1.45,2.73,file
2023-01-05,Adelaide International 1,ATP250,Outdoor,Hard,2nd Round,3,Sinner J.,Kokkinakis T.,15,93,Completed,1.25,4,1.27,4.25,1.29,4.25,1.24,3.92,file
2023-01-05,Maharashtra Open,ATP250,Outdoor,Hard,Quarterfinals,3,Bonzi B.,Krajinovic F.,60,54,Completed,1.5,2.63,1.6,2.52,1.62,2.65,1.53,2.48,file
2023-01-05,Maharashtra Open,ATP250,Outdoor,Hard,Quarterfinals,3,Griekspoor T.,Cilic M.,95,17,Walkover,2.75,1.44,3.07,1.43,3.07,1.47,2.79,1.43,file
2023-01-05,Maharashtra Open,ATP250,Outdoor,Hard,Quarterfinals,3,Karatsev A.,Martinez P.,59,62,Completed,1.5,2.63,1.5,2.81,1.54,2.81,1.48,2.63,file
2023-01-05,Maharashtra Open,ATP250,Outdoor,Hard,Quarterfinals,3,Van De Zandschulp B.,Marterer M.,35,159,Completed,1.4,3,1.4,3.23,1.47,3.45,1.42,2.83,file
2023-01-06,Adelaide International 1,ATP250,Outdoor,Hard,Quarterfinals,3,Djokovic N.,Shapovalov D.,5,18,Completed,1.14,5.5,1.17,5.96,1.19,5.96,1.15,5.34,file
2023-01-06,Adelaide International 1,ATP250,Outdoor,Hard,Quarterfinals,3,Korda S.,Sinner J.,33,15,Completed,2.5,1.53,2.51,1.6,2.56,1.6,2.44,1.55,file
2023-01-06,Adelaide International 1,ATP250,Outdoor,Hard,Quarterfinals,3,Medvedev D.,Khachanov K.,7,20,Completed,1.25,4,1.26,4.31,1.3,4.31,1.24,3.97,file
2023-01-06,Adelaide International 1,ATP250,Outdoor,Hard,Quarterfinals,3,Nishioka Y.,Popyrin A.,36,120,Completed,1.73,2.1,1.76,2.18,1.77,2.35,1.68,2.16,file
2023-01-06,Maharashtra Open,ATP250,Outdoor,Hard,Semifinals,3,Bonzi B.,Van De Zandschulp B.,60,35,Completed,2.3,1.62,2.25,1.72,2.33,1.72,2.22,1.65,file
2023-01-06,Maharashtra Open,ATP250,Outdoor,Hard,Semifinals,3,Griekspoor T.,Karatsev A.,95,59,Completed,2.63,1.5,2.53,1.59,2.63,1.62,2.46,1.54,file
2023-01-07,Adelaide International 1,ATP250,Outdoor,Hard,Semifinals,3,Djokovic N.,Medvedev D.,5,7,Completed,1.53,2.5,1.62,2.47,1.62,2.78,1.54,2.46,file
2023-01-07,Adelaide International 1,ATP250,Outdoor,Hard,Semifinals,3,Korda S.,Nishioka Y.,33,36,Retired,1.33,3.4,1.37,3.39,1.4,3.5,1.33,3.25,file
2023-01-07,Maharashtra Open,ATP250,Outdoor,Hard,The Final,3,Griekspoor T.,Bonzi B.,95,60,Completed,2.3,1.62,2.31,1.69,2.38,1.73,2.24,1.64,file
