date,tournament,series,court,surface,round,bestof,winner,loser,wrank,lrank,comment,b365w,b365l,psw,psl,maxw,maxl,avgw,avgl,avgsrc
2005-01-03,Next Generation Hardcourts,International,Outdoor,Hard,1st Round,3,Enqvist T.,Sluiter R.,72,82,Completed,1.833,1.833,1.99,1.84,1.99,1.95,1.8446,1.8546,computed
2005-01-03,Next Generation Hardcourts,International,Outdoor,Hard,1st Round,3,Kiefer N.,Schalken S.,21,57,Retired,1.333,3,1.408,3.1,1.48,3.1,1.3962,2.786,computed
2005-01-03,Next Generation Hardcourts,International,Outdoor,Hard,1st Round,3,Mayer F.,Arthurs W.,35,101,Completed,1.615,2.2,1.787,2.07,1.8,2.2,1.7004,2.044,computed
2005-01-03,Next Generation Hardcourts,International,Outdoor,Hard,1st Round,3,Melzer J.,Berdych T.,39,45,Completed,1.8,1.909,1.901,1.917,1.901,2,1.8402,1.8652,computed
2005-01-03,Next Generation Hardcourts,International,Outdoor,Hard,1st Round,3,Rochus O.,Dupuis A.,66,79,Completed,1.667,2.1,1.621,2.41,1.667,2.41,1.6036,2.212,computed
2005-01-03,Next Generation Hardcourts,International,Outdoor,Hard,1st Round,3,Saulnier C.,Baccanello P.,53,324,Completed,1.286,3.25,1.305,3.78,1.305,3.78,1.2882,3.356,computed
2005-01-03,Qatar Exxon Mobil Open,International,Outdoor,Hard,1st Round,3,Federer R.,Ferrer D.,1,49,Completed,1.03,10,1.045,17,1.05,17,1.041,10.05,computed
2005-01-03,Qatar Exxon Mobil Open,International,Outdoor,Hard,1st Round,3,Lee H.T.,Stakhovsky S.,59,335,Completed,,,,,1.4,2.3,1.4,2.3,computed
2005-01-03,Qatar Exxon Mobil Open,International,Outdoor,Hard,1st Round,3,Ljubicic I.,Wawrinka S.,22,168,Completed,,,1.269,4.17,1.3,4.17,1.2748,3.5175,computed
2005-01-03,Qatar Exxon Mobil Open,International,Outdoor,Hard,1st Round,3,Lopez F.,Volandri F.,25,43,Completed,1.286,3.25,1.308,3.75,1.308,3.75,1.2748,3.44,computed
2005-01-03,Qatar Exxon Mobil Open,International,Outdoor,Hard,1st Round,3,Lopez M.,Ulihrach B.,149,86,Completed,2.875,1.364,3.22,1.389,3.22,1.4,2.889,1.3706,computed
2005-01-03,Qatar Exxon Mobil Open,International,Outdoor,Hard,1st Round,3,Rusedski G.,Hernych J.,46,83,Completed,1.4,2.75,1.385,3.25,1.4,3.53,1.331,3.106,computed
2005-01-03,Qatar Exxon Mobil Open,International,Outdoor,Hard,1st Round,3,Vico U.,Mahut N.,206,131,Completed,,,2.1,1.769,2.1,1.769,1.975,1.7095,computed
2005-01-03,TATA Open,International,Outdoor,Hard,1st Round,3,Garcia A.,Carraz G.,118,90,Completed,2.87,1.36,2.82,1.476,2.87,1.5,2.688,1.4172,computed
2005-01-03,TATA Open,International,Outdoor,Hard,1st Round,3,Garcia-Lopez G.,van Scheppingen D.,129,112,Completed,2,1.727,2.01,1.826,2.01,1.826,1.948,1.7606,computed
2005-01-03,TATA Open,International,Outdoor,Hard,1st Round,3,Gimelstob J.,Gambill J.M.,162,95,Completed,2.1,1.667,2.26,1.685,2.3,1.7,2.172,1.6244,computed
