date,tournament,series,court,surface,round,bestof,winner,loser,wrank,lrank,comment,b365w,b365l,psw,psl,maxw,maxl,avgw,avgl,avgsrc
2018-12-31,Brisbane International,ATP250,Outdoor,Hard,1st Round,3,Dimitrov G.,Nishioka Y.,19,75,Completed,1.36,3,1.36,3.37,1.42,3.6,1.35,3.18,file
2018-12-31,Brisbane International,ATP250,Outdoor,Hard,1st Round,3,Kecmanovic M.,Mayer L.,131,56,Completed,1.57,2.25,1.67,2.32,1.71,2.4,1.63,2.28,file
2018-12-31,Brisbane International,ATP250,Outdoor,Hard,1st Round,3,Millman J.,Sandgren T.,38,61,Completed,1.4,2.75,1.41,3.13,1.45,3.2,1.4,2.95,file
2018-12-31,Brisbane International,ATP250,Outdoor,Hard,1st Round,3,Raonic M.,Bedene A.,18,67,Completed,1.18,4.5,1.23,4.68,1.27,4.84,1.22,4.26,file
2018-12-31,Brisbane International,ATP250,Outdoor,Hard,1st Round,3,Uchiyama Y.,Humbert U.,185,102,Completed,2.62,1.44,2.73,1.51,3.26,1.53,2.69,1.47,file
2018-12-31,Maharashtra Open,ATP250,Outdoor,Hard,1st Round,3,Darcis S.,Carballes Baena R.,N/A,73,Completed,2.37,1.53,2.44,1.61,2.47,1.65,2.35,1.59,file
2018-12-31,Maharashtra Open,ATP250,Outdoor,Hard,1st Round,3,Donskoy E.,Andujar P.,97,82,Completed,1.5,2.5,1.54,2.62,1.57,2.65,1.51,2.53,file
2018-12-31,Maharashtra Open,ATP250,Outdoor,Hard,1st Round,3,Gulbis E.,Sousa P.,95,104,Completed,1.33,3.25,1.36,3.39,1.4,3.5,1.35,3.19,file
2018-12-31,Maharashtra Open,ATP250,Outdoor,Hard,1st Round,3,Mmoh M.,Gunneswaran P.,103,110,Completed,1.66,2.1,1.81,2.1,1.83,2.17,1.74,2.09,file
2018-12-31,Maharashtra Open,ATP250,Outdoor,Hard,1st Round,3,Munar J.,Albot R.,81,98,Completed,2,1.72,1.94,1.94,2.08,1.95,1.94,1.86,file
2018-12-31,Qatar Exxon Mobil Open,ATP250,Outdoor,Hard,1st Round,3,Basilashvili N.,Ramos-Vinolas A.,21,65,Completed,1.4,2.75,1.49,2.81,1.5,3.03,1.45,2.75,file
2018-12-31,Qatar Exxon Mobil Open,ATP250,Outdoor,Hard,1st Round,3,Bautista Agut R.,Berrettini M.,24,54,Completed,1.3,3.4,1.34,3.5,1.53,3.6,1.35,3.23,file
2018-12-31,Qatar Exxon Mobil Open,ATP250,Outdoor,Hard,1st Round,3,Berdych T.,Kohlschreiber P.,71,34,Completed,2.62,1.44,2.86,1.47,2.86,2.02,2.44,1.59,file
2018-12-31,Qatar Exxon Mobil Open,ATP250,Outdoor,Hard,1st Round,3,Jarry N.,Haase R.,43,50,Completed,2.1,1.66,2.07,1.83,2.17,1.87,2.05,1.77,file
2018-12-31,Qatar Exxon Mobil Open,ATP250,Outdoor,Hard,1st Round,3,Marterer M.,Gojowczyk P.,74,59,Completed,1.9,1.8,2.2,1.74,2.23,1.82,2.09,1.74,file
2018-12-31,Qatar Exxon Mobil Open,ATP250,Outdoor,Hard,1st Round,3,Rublev A.,Seppi A.,68,37,Completed,1.5,2.5,1.48,2.83,1.57,2.83,1.5,2.59,file
2018-12-31,Qatar Exxon Mobil Open,ATP250,Outdoor,Hard,1st Round,3,Verdasco F.,Lorenzi P.,28,109,Completed,1.22,4,1.23,4.62,1.3,4.7,1.24,4.07,file
2019-01-01,Brisbane International,ATP250,Outdoor,Hard,1st Round,3,Chardy J.,Struff J.L.,40,57,Completed,2.1,1.66,2.23,1.72,2.26,1.74,2.19,1.68,file
2019-01-01,Brisbane International,ATP250,Outdoor,Hard,1st Round,3,De Minaur A.,Popyrin A.,31,147,Completed,1.2,4.33,1.21,4.98,1.24,5,1.2,4.55,file
2019-01-01,Brisbane International,ATP250,Outdoor,Hard,1st Round,3,Kudla D.,Fritz T.,63,49,Completed,2.62,1.44,2.8,1.49,2.85,1.55,2.7,1.47,file
2019-01-01,Brisbane International,ATP250,Outdoor,Hard,1st Round,3,Kyrgios N.,Harrison R.,35,62,Completed,1.4,2.75,1.47,2.87,1.5,3.16,1.44,2.8,file
2019-01-01,Brisbane International,ATP250,Outdoor,Hard,1st Round,3,Murray A.,Duckworth J.,240,234,Completed,1.28,3.5,1.38,3.29,1.39,3.6,1.34,3.26,file
2019-01-01,Brisbane International,ATP250,Outdoor,Hard,1st Round,3,Thompson J.,Bolt A.,72,154,Completed,1.33,3.25,1.37,3.35,1.38,3.4,1.36,3.14,file
2019-01-01,Brisbane International,ATP250,Outdoor,Hard,1st Round,3,Tsonga J.W.,Kokkinakis T.,239,146,Completed,2.25,1.57,2.27,1.7,2.42,1.71,2.27,1.64,file
2019-01-01,Maharashtra Open,ATP250,Outdoor,Hard,1st Round,3,Bolelli S.,Istomin D.,141,92,Completed,2,1.72,2.19,1.75,2.2,1.8,2.11,1.72,file
2019-01-01,Maharashtra Open,ATP250,Outdoor,Hard,1st Round,3,Djere L.,Kadhe A.,93,392,Completed,1.22,4,1.26,4.31,1.3,4.4,1.25,3.96,file
2019-01-01,Maharashtra Open,ATP250,Outdoor,Hard,1st Round,3,Ivashka I.,Hurkacz H.,91,86,Completed,2.25,1.57,2.29,1.69,2.37,1.71,2.24,1.65,file
2019-01-01,Maharashtra Open,ATP250,Outdoor,Hard,1st Round,3,Karlovic I.,Auger-Aliassime F.,100,108,Completed,2.1,1.66,2.2,1.74,2.3,1.78,2.16,1.7,file
2019-01-01,Maharashtra Open,ATP250,Outdoor,Hard,1st Round,3,Paire B.,Monteiro T.,52,120,Completed,,,,,1.35,3.23,1.34,3.07,file
2019-01-01,Maharashtra Open,ATP250,Outdoor,Hard,1st Round,3,Ramanathan R.,Granollers M.,132,96,Completed,2.25,1.57,2.33,1.67,2.4,1.67,2.3,1.61,file
