date,tournament,series,court,surface,round,bestof,winner,loser,wrank,lrank,comment,b365w,b365l,psw,psl,maxw,maxl,avgw,avgl,avgsrc
2017-01-01,Brisbane International,ATP250,Outdoor,Hard,1st Round,3,Thompson J.,Ymer E.,79,160,Completed,1.28,3.5,1.31,3.73,1.33,3.9,1.29,3.5,file
2017-01-02,Brisbane International,ATP250,Outdoor,Hard,1st Round,3,Dimitrov G.,Johnson S.,17,33,Completed,1.4,2.75,1.41,3.13,1.46,3.13,1.41,2.85,file
2017-01-02,Brisbane International,ATP250,Outdoor,Hard,1st Round,3,Edmund K.,Escobedo E.,45,141,Completed,1.36,3,1.42,3.09,1.42,3.25,1.37,3.01,file
2017-01-02,Brisbane International,ATP250,Outdoor,Hard,1st Round,3,Ferrer D.,Tomic B.,21,26,Completed,1.9,1.8,2.1,1.81,2.15,1.82,2.01,1.77,file
2017-01-02,Brisbane International,ATP250,Outdoor,Hard,1st Round,3,Mahut N.,Robert S.,39,54,Completed,1.5,2.5,1.58,2.52,1.59,2.55,1.54,2.43,file
2017-01-02,Chennai Open,ATP250,Outdoor,Hard,1st Round,3,Chung H.,Coric B.,104,48,Completed,1.66,2.1,1.79,2.12,1.83,2.14,1.74,2.06,file
2017-01-02,Chennai Open,ATP250,Outdoor,Hard,1st Round,3,Darcis S.,Mektic N.,86,331,Completed,1.22,4,1.26,4.25,1.26,4.33,1.23,4.06,file
2017-01-02,Chennai Open,ATP250,Outdoor,Hard,1st Round,3,Kovalik J.,Elias G.,117,81,Completed,1.44,2.62,1.57,2.55,1.57,2.75,1.5,2.55,file
2017-01-02,Chennai Open,ATP250,Outdoor,Hard,1st Round,3,Medvedev D.,Monteiro T.,99,82,Completed,1.18,4.5,1.25,4.36,1.25,4.7,1.21,4.3,file
2017-01-02,Chennai Open,ATP250,Outdoor,Hard,1st Round,3,Sela D.,Dzumhur D.,96,77,Completed,2,1.72,2.1,1.81,2.1,1.83,2.02,1.77,file
2017-01-02,Qatar Exxon Mobil Open,ATP250,Outdoor,Hard,1st Round,3,Almagro N.,Lorenzi P.,44,40,Completed,1.66,2.1,1.67,2.33,1.8,2.33,1.68,2.14,file
2017-01-02,Qatar Exxon Mobil Open,ATP250,Outdoor,Hard,1st Round,3,Brown D.,Bagnis F.,72,56,Completed,1.36,3,1.41,3.14,1.41,3.4,1.36,3.1,file
2017-01-02,Qatar Exxon Mobil Open,ATP250,Outdoor,Hard,1st Round,3,De Greef A.,Safwat M.,134,199,Completed,2.25,1.57,2.46,1.61,2.49,1.62,2.35,1.56,file
2017-01-02,Qatar Exxon Mobil Open,ATP250,Outdoor,Hard,1st Round,3,Djokovic N.,Struff J.L.,2,63,Completed,1.03,15,1.04,14.14,1.05,17,1.03,12.47,file
2017-01-02,Qatar Exxon Mobil Open,ATP250,Outdoor,Hard,1st Round,3,Goffin D.,Haase R.,11,59,Completed,1.16,5,1.16,6.02,1.17,6.02,1.15,5.32,file
2017-01-02,Qatar Exxon Mobil Open,ATP250,Outdoor,Hard,1st Round,3,Stepanek R.,Baghdatis M.,107,36,Retired,2.2,1.61,2.28,1.69,2.35,1.73,2.18,1.65,file
2017-01-02,Qatar Exxon Mobil Open,ATP250,Outdoor,Hard,1st Round,3,Verdasco F.,Pospisil V.,42,133,Completed,1.8,1.9,1.89,2,1.89,2.05,1.8,1.98,file
2017-01-02,Qatar Exxon Mobil Open,ATP250,Outdoor,Hard,1st Round,3,Vesely J.,Yuksel A.,55,507,Completed,1.05,10,1.06,11.37,1.1,11.37,1.07,8.57,file
2017-01-02,Qatar Exxon Mobil Open,ATP250,Outdoor,Hard,1st Round,3,Zeballos H.,Mayer F.,71,50,Completed,2.37,1.53,2.62,1.54,2.62,1.62,2.47,1.53,file
2017-01-02,Sony Ericsson Open,Masters 1000,Outdoor,Hard,The Final,3,Federer R.,Nadal R.,6,7,Completed,1.66,2.2,1.73,2.26,1.76,2.26,1.7,2.16,file
2017-01-03,Brisbane International,ATP250,Outdoor,Hard,1st Round,3,Donaldson J.,Muller G.,105,34,Completed,2.62,1.44,2.74,1.51,2.75,1.51,2.64,1.47,file
2017-01-03,Brisbane International,ATP250,Outdoor,Hard,1st Round,3,Groth S.,Herbert P.H.,180,78,Completed,2.25,1.57,2.34,1.66,2.4,1.66,2.27,1.61,file
2017-01-03,Brisbane International,ATP250,Outdoor,Hard,1st Round,3,Nadal R.,Dolgopolov O.,9,62,Completed,1.16,5,1.15,6.34,1.2,6.34,1.14,5.34,file
2017-01-03,Brisbane International,ATP250,Outdoor,Hard,1st Round,3,Pouille L.,Simon G.,15,25,Completed,1.8,1.9,1.93,1.95,1.93,2,1.83,1.94,file
2017-01-03,Brisbane International,ATP250,Outdoor,Hard,1st Round,3,Schwartzman D.,Querrey S.,52,31,Completed,2.2,1.61,2.2,1.74,2.3,1.74,2.18,1.66,file
2017-01-03,Brisbane International,ATP250,Outdoor,Hard,1st Round,3,Troicki V.,Nishioka Y.,29,100,Completed,1.5,2.5,1.54,2.62,1.54,2.85,1.49,2.57,file
2017-01-03,Brisbane International,ATP250,Outdoor,Hard,1st Round,3,Zverev M.,De Minaur A.,51,351,Completed,1.44,2.62,1.49,2.8,1.5,2.8,1.45,2.7,file
2017-01-03,Chennai Open,ATP250,Outdoor,Hard,1st Round,3,Bedene A.,Garcia-Lopez G.,101,70,Completed,1.66,2.1,1.74,2.2,1.74,2.25,1.69,2.13,file
2017-01-03,Chennai Open,ATP250,Outdoor,Hard,1st Round,3,Bhambri Y.,Ramanathan R.,474,227,Completed,1.4,2.75,1.43,3.02,1.5,3.02,1.44,2.75,file
