date,tournament,series,court,surface,round,bestof,winner,loser,wrank,lrank,comment,b365w,b365l,psw,psl,maxw,maxl,avgw,avgl,avgsrc
2013-12-30,Brisbane International,ATP250,Outdoor,Hard,1st Round,3,Cilic M.,Istomin D.,37,45,Completed,1.36,3,1.39,3.22,1.44,3.55,1.39,2.93,file
2013-12-30,Brisbane International,ATP250,Outdoor,Hard,1st Round,3,Dimitrov G.,Haase R.,23,43,Completed,1.25,3.75,1.28,4.01,1.33,4.33,1.29,3.53,file
2013-12-30,Brisbane International,ATP250,Outdoor,Hard,1st Round,3,Matosevic M.,Benneteau J.,61,35,Completed,1.72,2,1.88,2.01,2,2.1,1.82,1.94,file
2013-12-30,Brisbane International,ATP250,Outdoor,Hard,1st Round,3,Nieminen J.,Duckworth J.,39,136,Completed,1.28,3.5,1.35,3.47,1.36,3.8,1.32,3.32,file
2013-12-30,Brisbane International,ATP250,Outdoor,Hard,1st Round,3,Querrey S.,Tursunov D.,46,29,Completed,1.9,1.8,1.99,1.9,2.1,1.91,1.92,1.83,file
2013-12-30,Chennai Open,ATP250,Outdoor,Hard,1st Round,3,Lu Y.H.,Smyczek T.,65,89,Completed,1.53,2.37,1.61,2.45,1.85,2.63,1.57,2.36,file
2013-12-30,Chennai Open,ATP250,Outdoor,Hard,1st Round,3,Pospisil V.,Edmund K.,32,376,Completed,1.12,6,1.17,5.75,1.17,7.6,1.12,6.03,file
2013-12-30,Chennai Open,ATP250,Outdoor,Hard,1st Round,3,Sela D.,Lacko L.,73,81,Completed,1.8,1.9,1.93,1.96,1.93,2.2,1.83,1.92,file
2013-12-30,Chennai Open,ATP250,Outdoor,Hard,1st Round,3,Vesely J.,Nedunchezhiyan J.,85,314,Completed,1.12,6,1.14,6.5,1.17,6.5,1.13,5.75,file
2013-12-30,Qatar Exxon Mobil Open,ATP250,Outdoor,Hard,1st Round,3,Hanescu V.,Sousa J.,80,49,Completed,2.5,1.5,2.61,1.55,2.8,1.59,2.59,1.48,file
2013-12-30,Qatar Exxon Mobil Open,ATP250,Outdoor,Hard,1st Round,3,Kamke T.,Jaziri M.,74,168,Completed,1.5,2.5,1.53,2.65,1.62,2.65,1.54,2.43,file
2013-12-30,Qatar Exxon Mobil Open,ATP250,Outdoor,Hard,1st Round,3,Karlovic I.,Berdych T.,78,7,Completed,4.5,1.18,5,1.21,5.2,1.22,4.49,1.19,file
2013-12-30,Qatar Exxon Mobil Open,ATP250,Outdoor,Hard,1st Round,3,Kubot L.,Gimeno-Traver D.,72,77,Completed,1.53,2.37,1.59,2.49,1.65,2.5,1.57,2.34,file
2013-12-30,Qatar Exxon Mobil Open,ATP250,Outdoor,Hard,1st Round,3,Monfils G.,Giraldo S.,31,69,Completed,1.33,3.25,1.37,3.29,1.38,3.8,1.32,3.26,file
2013-12-30,Qatar Exxon Mobil Open,ATP250,Outdoor,Hard,1st Round,3,Verdasco F.,Volandri F.,30,71,Completed,1.08,8,1.1,8.4,1.1,9.05,1.08,7.63,file
2013-12-31,Brisbane International,ATP250,Outdoor,Hard,1st Round,3,Chardy J.,Mannarino A.,34,59,Completed,1.44,2.62,1.55,2.6,1.62,2.75,1.55,2.41,file
2013-12-31,Brisbane International,ATP250,Outdoor,Hard,1st Round,3,Copil M.,Sugita Y.,147,170,Completed,1.57,2.25,1.63,2.43,1.65,2.43,1.6,2.29,file
2013-12-31,Brisbane International,ATP250,Outdoor,Hard,1st Round,3,Ebden M.,Kuznetsov Al.,68,142,Completed,1.25,3.75,1.36,3.39,1.36,3.8,1.31,3.34,file
2013-12-31,Brisbane International,ATP250,Outdoor,Hard,1st Round,3,Groth S.,Harrison R.,172,100,Completed,2.75,1.4,2.94,1.45,2.95,1.53,2.72,1.43,file
2013-12-31,Brisbane International,ATP250,Outdoor,Hard,1st Round,3,Hewitt L.,Kokkinakis T.,60,628,Completed,1.28,3.5,1.36,3.42,1.4,3.6,1.34,3.17,file
2013-12-31,Brisbane International,ATP250,Outdoor,Hard,1st Round,3,Lopez F.,Kukushkin M.,28,67,Completed,1.66,2.1,1.75,2.18,1.83,2.2,1.71,2.09,file
2013-12-31,Brisbane International,ATP250,Outdoor,Hard,1st Round,3,Mahut N.,Sijsling I.,50,70,Completed,2.25,1.57,2.49,1.6,2.6,1.63,2.37,1.56,file
2013-12-31,Chennai Open,ATP250,Outdoor,Hard,1st Round,3,Becker B.,Reister J.,79,86,Retired,1.44,2.62,1.46,2.9,1.51,2.95,1.44,2.73,file
2013-12-31,Chennai Open,ATP250,Outdoor,Hard,1st Round,3,Bedene A.,Laaksonen H.,95,244,Completed,1.83,1.83,1.87,2.02,1.94,2.1,1.84,1.91,file
2013-12-31,Chennai Open,ATP250,Outdoor,Hard,1st Round,3,Bhambri Y.,Carreno-Busta P.,195,64,Completed,2.2,1.61,2.3,1.68,2.3,1.76,2.2,1.64,file
2013-12-31,Chennai Open,ATP250,Outdoor,Hard,1st Round,3,Garcia-Lopez G.,Nedovyesov A.,62,93,Completed,1.4,2.75,1.43,3.05,1.55,3.2,1.47,2.61,file
2013-12-31,Chennai Open,ATP250,Outdoor,Hard,1st Round,3,Granollers M.,Albot R.,222,169,Completed,1.28,3.5,1.37,3.34,1.37,4.7,1.31,3.36,file
2013-12-31,Chennai Open,ATP250,Outdoor,Hard,1st Round,3,Kudryavtsev A.,Bautista R.,270,58,Completed,4.33,1.2,4.45,1.24,5,1.25,4.22,1.21,file
2013-12-31,Chennai Open,ATP250,Outdoor,Hard,1st Round,3,Ramanathan R.,Devvarman S.,526,90,Completed,5,1.14,5,1.21,6,1.21,4.88,1.16,file
2013-12-31,Chennai Open,ATP250,Outdoor,Hard,1st Round,3,Roger-Vasselin E.,Ramos A.,52,83,Completed,1.33,3.25,1.42,3.07,1.42,3.6,1.34,3.17,file
2013-12-31,Qatar Exxon Mobil Open,ATP250,Outdoor,Hard,1st Round,3,Brands D.,Davydenko N.,54,53,Completed,1.83,1.83,2.1,1.81,2.1,1.88,1.96,1.8,file
2013-12-31,Qatar Exxon Mobil Open,ATP250,Outdoor,Hard,1st Round,3,Brown D.,Dodig I.,111,33,Completed,3,1.36,3.27,1.38,3.3,1.42,3.01,1.37,file
2013-12-31,Qatar Exxon Mobil Open,ATP250,Outdoor,Hard,1st Round,3,Ferrer D.,Dolgopolov O.,3,57,Completed,1.14,5.5,1.21,4.9,1.21,5.75,1.16,5.09,file
2013-12-31,Qatar Exxon Mobil Open,ATP250,Outdoor,Hard,1st Round,3,Gasquet R.,Hossam K.,9,338,Completed,1.01,21,1.03,18.68,1.03,40,1.02,16.19,file
2013-12-31,Qatar Exxon Mobil Open,ATP250,Outdoor,Hard,1st Round,3,Gojowczyk P.,Thiem D.,162,139,Completed,2.1,1.66,2.2,1.74,2.25,1.84,2.14,1.68,file
2013-12-31,Qatar Exxon Mobil Open,ATP250,Outdoor,Hard,1st Round,3,Gulbis E.,Evans D.,24,150,Completed,1.22,4,1.24,4.55,1.28,4.7,1.24,3.95,file
2013-12-31,Qatar Exxon Mobil Open,ATP250,Outdoor,Hard,1st Round,3,Kohlschreiber P.,Andujar P.,22,48,Completed,1.14,5,1.14,6.65,1.17,6.65,1.15,5.21,file
2013-12-31,Qatar Exxon Mobil Open,ATP250,Outdoor,Hard,1st Round,3,Mayer F.,Przysiezny M.,40,66,Completed,1.44,2.62,1.38,3.26,1.56,3.26,1.44,2.72,file
2013-12-31,Qatar Exxon Mobil Open,ATP250,Outdoor,Hard,1st Round,3,Murray A.,Zayed M.S.,4,N/A,Completed,,51,1.01,76,1.01,101,1.01,34.46,file
2013-12-31,Qatar Exxon Mobil Open,ATP250,Outdoor,Hard,1st Round,3,Nadal R.,Rosol L.,1,47,Completed,1.04,13,1.05,12.44,1.06,15,1.04,11.03,file
2014-01-01,Brisbane International,ATP250,Outdoor,Hard,2nd Round,3,Cilic M.,Dimitrov G.,37,23,Completed,2.2,1.61,2.37,1.66,2.56,1.67,2.29,1.6,file
2014-01-01,Brisbane International,ATP250,Outdoor,Hard,2nd Round,3,Federer R.,Nieminen J.,6,39,Completed,1.1,6.5,1.14,6.7,1.15,6.7,1.13,5.77,file
2014-01-01,Brisbane International,ATP250,Outdoor,Hard,2nd Round,3,Matosevic M.,Querrey S.,61,46,Completed,2.2,1.61,2.35,1.67,2.35,1.72,2.2,1.64,file
2014-01-01,Brisbane International,ATP250,Outdoor,Hard,2nd Round,3,Nishikori K.,Ebden M.,17,68,Completed,1.36,3,1.4,3.21,1.44,3.5,1.37,3.02,file
2014-01-01,Chennai Open,ATP250,Outdoor,Hard,2nd Round,3,Bedene A.,Kudryavtsev A.,95,270,Retired,1.5,2.5,1.54,2.66,1.57,2.66,1.52,2.49,file
2014-01-01,Chennai Open,ATP250,Outdoor,Hard,2nd Round,3,Roger-Vasselin E.,Vesely J.,52,85,Completed,1.36,3,1.4,3.2,1.4,3.45,1.35,3.11,file
2014-01-01,Chennai Open,ATP250,Outdoor,Hard,2nd Round,3,Sela D.,Youzhny M.,73,15,Retired,3,1.36,3.05,1.43,3.4,1.43,3.07,1.35,file
2014-01-01,Chennai Open,ATP250,Outdoor,Hard,2nd Round,3,Wawrinka S.,Becker B.,8,79,Completed,1.16,4.5,1.19,5.33,1.23,5.4,1.19,4.54,file
2014-01-01,Qatar Exxon Mobil Open,ATP250,Outdoor,Hard,2nd Round,3,Brands D.,Ferrer D.,54,3,Completed,5.5,1.14,5.8,1.17,6,1.18,5.23,1.15,file
2014-01-01,Qatar Exxon Mobil Open,ATP250,Outdoor,Hard,2nd Round,3,Brown D.,Karlovic I.,111,78,Completed,2.25,1.57,2.52,1.59,2.52,1.68,2.26,1.62,file
2014-01-01,Qatar Exxon Mobil Open,ATP250,Outdoor,Hard,2nd Round,3,Gojowczyk P.,Kohlschreiber P.,162,22,Completed,4,1.22,4.3,1.26,4.3,1.27,3.97,1.23,file
2014-01-01,Qatar Exxon Mobil Open,ATP250,Outdoor,Hard,2nd Round,3,Gulbis E.,Kubot L.,24,72,Completed,1.16,5,1.2,5.27,1.22,5.5,1.19,4.58,file
2014-01-01,Qatar Exxon Mobil Open,ATP250,Outdoor,Hard,2nd Round,3,Hanescu V.,Verdasco F.,80,30,Completed,4,1.22,4.6,1.24,4.63,1.3,3.9,1.24,file
2014-01-01,Qatar Exxon Mobil Open,ATP250,Outdoor,Hard,2nd Round,3,Mayer F.,Murray A.,40,4,Completed,5,1.14,6.55,1.15,6.88,1.17,5.41,1.14,file
2014-01-01,Qatar Exxon Mobil Open,ATP250,Outdoor,Hard,2nd Round,3,Monfils G.,Gasquet R.,31,9,Completed,1.57,2.25,1.63,2.45,1.66,2.54,1.6,2.29,file
