date,tournament,series,court,surface,round,bestof,winner,loser,wrank,lrank,comment,b365w,b365l,psw,psl,maxw,maxl,avgw,avgl,avgsrc
2004-01-05,AAPT Championships,International,Outdoor,Hard,1st Round,3,Arthurs W.,Karlovic I.,117,73,Completed,1.8,1.909,1.862,2,1.9,2,1.8224,1.8918,computed
2004-01-05,AAPT Championships,International,Outdoor,Hard,1st Round,3,Beck K.,Vahaly B.,66,75,Completed,1.83,1.83,1.73,2.21,1.83,2.21,1.7533,2.0467,computed
2004-01-05,AAPT Championships,International,Outdoor,Hard,1st Round,3,Dent T.,Horna L.,33,64,Completed,1.16,4.5,1.241,4.55,1.241,4.55,1.2042,4.18,computed
2004-01-05,AAPT Championships,International,Outdoor,Hard,1st Round,3,Johansson T.,Rochus C.,N/A,84,Completed,,,1.758,2.16,1.8,2.25,1.727,2.0275,computed
2004-01-05,AAPT Championships,International,Outdoor,Hard,1st Round,3,Martin A.,Ancic M.,54,74,Completed,2,1.72,2.17,1.752,2.17,1.752,2.08,1.673,computed
2004-01-05,AAPT Championships,International,Outdoor,Hard,1st Round,3,Nieminen J.,Moodie W.,36,82,Completed,1.4,2.75,1.459,2.93,1.5,2.93,1.4218,2.696,computed
2004-01-05,AAPT Championships,International,Outdoor,Hard,1st Round,3,Spadea V.,Melzer J.,29,79,Completed,,,1.465,2.9,1.48,2.9,1.4488,2.62,computed
2004-01-05,Qatar Exxon Mobil Open,International,Outdoor,Hard,1st Round,3,Arazi H.,Enqvist T.,52,96,Completed,2.1,1.667,2.06,1.82,2.1,1.9,1.942,1.7874,computed
2004-01-05,Qatar Exxon Mobil Open,International,Outdoor,Hard,1st Round,3,Henman T.,Sanchez D.,15,50,Completed,1.083,7,1.131,6.85,1.14,7,1.1108,5.97,computed
2004-01-05,Qatar Exxon Mobil Open,International,Outdoor,Hard,1st Round,3,Heuberger I.,Khalfan S.,155,1032,Completed,,,,,,,,,
2004-01-05,Qatar Exxon Mobil Open,International,Outdoor,Hard,1st Round,3,Sargsian S.,Carraz G.,39,67,Completed,1.571,2.25,1.746,2.18,1.746,2.25,1.6574,2.116,computed
2004-01-05,Qatar Exxon Mobil Open,International,Outdoor,Hard,1st Round,3,Ulihrach B.,Kiefer N.,246,58,Completed,2.2,1.615,2.21,1.719,2.21,1.719,2.162,1.6268,computed
2004-01-05,Qatar Exxon Mobil Open,International,Outdoor,Hard,1st Round,3,Youzhny M.,Schuettler R.,43,6,Completed,2.875,1.364,3.25,1.385,3.25,1.4,2.865,1.3798,computed
2004-01-05,TATA Open,International,Outdoor,Hard,1st Round,3,Amritraj P.,Mankad H.,280,340,Completed,,,,,1.5,2.6,1.475,2.35,computed
2004-01-05,TATA Open,International,Outdoor,Hard,1st Round,3,Andreev I.,Ramirez-Hidalgo R.,88,80,Completed,1.5,2.5,1.463,2.91,1.5,2.91,1.4726,2.552,computed
2004-01-05,TATA Open,International,Outdoor,Hard,1st Round,3,Dupuis A.,Popp A.,78,90,Completed,1.727,2,1.82,2.06,1.82,2.1,1.7494,1.992,computed
2004-01-05,TATA Open,International,Outdoor,Hard,1st Round,3,Ferrer D.,Verdasco F.,71,109,Completed,1.727,2,1.885,1.971,1.885,2,1.7324,1.9942,computed
2004-01-05,TATA Open,International,Outdoor,Hard,1st Round,3,Goldstein P.,Mutis O.,107,104,Completed,1.727,2,1.714,2.24,1.75,2.24,1.6982,2.058,computed
2004-01-05,TATA Open,International,Outdoor,Hard,1st Round,3,Levy H.,Portas A.,111,85,Completed,1.57,2.25,1.641,2.36,1.65,2.4,1.6022,2.212,computed
2004-01-05,TATA Open,International,Outdoor,Hard,1st Round,3,Lisnard J.R.,Pless K.,97,440,Completed,1.571,2.25,1.562,2.58,1.571,2.58,1.5206,2.376,computed
2004-01-05,TATA Open,International,Outdoor,Hard,1st Round,3,van Lottum J.,Blanco G.,92,99,Completed,1.444,2.625,1.455,2.9,1.48,2.9,1.4358,2.641,computed
