date,tournament,series,court,surface,round,bestof,winner,loser,wrank,lrank,comment,b365w,b365l,psw,psl,maxw,maxl,avgw,avgl,avgsrc
2023-12-31,Brisbane International,ATP250,Outdoor,Hard,1st Round,3,Popyrin A.,O Connell C.,40,68,Completed,1.62,2.3,1.72,2.23,1.77,2.32,1.68,2.17,file
2023-12-31,Brisbane International,ATP250,Outdoor,Hard,1st Round,3,Shevchenko A.,Van Assche L.,48,90,Completed,1.62,2.3,1.78,2.14,1.78,2.32,1.7,2.14,file
2024-01-01,Brisbane International,ATP250,Outdoor,Hard,1st Round,3,Dimitrov G.,Murray A.,14,42,Completed,1.33,3.4,1.35,3.47,1.36,3.5,1.33,3.25,file
2024-01-01,Brisbane International,ATP250,Outdoor,Hard,1st Round,3,Rune H.,Purcell M.,8,45,Completed,1.25,4,1.32,3.68,1.32,4.01,1.28,3.65,file
2024-01-01,Brisbane International,ATP250,Outdoor,Hard,1st Round,3,Safiullin R.,Shelton B.,39,17,Completed,2.3,1.62,2.31,1.68,2.32,1.68,2.24,1.63,file
2024-01-01,Hong Kong Tennis Open,ATP250,Outdoor,Hard,1st Round,3,Kotov P.,Borges N.,67,66,Completed,2,1.8,2.01,1.88,2.03,1.85,1.97,1.81,file
2024-01-01,Hong Kong Tennis Open,ATP250,Outdoor,Hard,1st Round,3,Ruusuvuori E.,Bonzi B.,69,73,Completed,1.62,2.3,1.58,2.53,1.6,2.6,1.55,2.38,file
2024-01-01,Hong Kong Tennis Open,ATP250,Outdoor,Hard,1st Round,3,Shang J.,Djere L.,183,33,Completed,2.3,1.62,2.07,1.83,2.3,1.83,2.13,1.7,file
2024-01-01,Hong Kong Tennis Open,ATP250,Outdoor,Hard,1st Round,3,Van De Zandschulp B.,Mochizuki S.,50,137,Completed,1.3,3.5,1.28,4.06,1.33,4.06,1.3,3.48,file
2024-01-02,Brisbane International,ATP250,Outdoor,Hard,1st Round,3,Altmaier D.,Tu L.,56,225,Completed,1.57,2.38,1.64,2.39,1.64,2.4,1.59,2.32,file
2024-01-02,Brisbane International,ATP250,Outdoor,Hard,1st Round,3,Arnaldi M.,Fucsovics M.,44,59,Completed,1.91,1.91,2.05,1.85,2.05,2.1,1.82,1.98,file
2024-01-02,Brisbane International,ATP250,Outdoor,Hard,1st Round,3,Duckworth J.,Wolf J.J.,116,53,Completed,2.38,1.57,2.21,1.74,2.4,1.74,2.24,1.63,file
2024-01-02,Brisbane International,ATP250,Outdoor,Hard,1st Round,3,Hanfmann Y.,Korda S.,51,24,Completed,4.5,1.2,4.54,1.25,4.54,1.25,4.16,1.22,file
2024-01-02,Brisbane International,ATP250,Outdoor,Hard,1st Round,3,Hijikata R.,Kokkinakis T.,71,65,Completed,2.63,1.5,2.71,1.52,2.75,1.55,2.57,1.49,file
2024-01-02,Brisbane International,ATP250,Outdoor,Hard,1st Round,3,Klein L.,Baez S.,170,28,Completed,2,1.8,2.02,1.88,2.22,1.88,2.04,1.76,file
2024-01-02,Brisbane International,ATP250,Outdoor,Hard,1st Round,3,Kubler J.,Karatsev A.,102,35,Retired,2.75,1.44,2.6,1.55,2.75,1.55,2.58,1.49,file
2024-01-02,Brisbane International,ATP250,Outdoor,Hard,1st Round,3,Machac T.,Etcheverry T.,78,30,Completed,1.36,3.2,1.4,3.17,1.41,3.2,1.37,3.02,file
2024-01-02,Brisbane International,ATP250,Outdoor,Hard,1st Round,3,Nadal R.,Thiem D.,672,98,Completed,1.62,2.3,1.6,2.48,1.63,2.48,1.58,2.33,file
2024-01-02,Brisbane International,ATP250,Outdoor,Hard,1st Round,3,Thompson J.,Vukic A.,55,62,Completed,1.57,2.38,1.56,2.58,1.57,2.63,1.54,2.46,file
2024-01-02,Hong Kong Tennis Open,ATP250,Outdoor,Hard,1st Round,3,Bautista Agut R.,Marozsan F.,57,64,Completed,1.62,2.3,1.64,2.39,1.7,2.39,1.63,2.24,file
2024-01-02,Hong Kong Tennis Open,ATP250,Outdoor,Hard,1st Round,3,Broady L.,Cachin P.,108,70,Completed,1.36,3.2,1.42,3.06,1.42,3.2,1.37,3.03,file
2024-01-02,Hong Kong Tennis Open,ATP250,Outdoor,Hard,1st Round,3,Fils A.,Gojo B.,36,72,Completed,1.53,2.5,1.6,2.47,1.6,2.51,1.54,2.42,file
2024-01-02,Hong Kong Tennis Open,ATP250,Outdoor,Hard,1st Round,3,Huesler M.A.,Sachko V.,194,169,Completed,1.53,2.5,1.53,2.67,1.55,2.67,1.51,2.51,file
2024-01-02,Hong Kong Tennis Open,ATP250,Outdoor,Hard,1st Round,3,Kecmanovic M.,Daniel T.,54,75,Completed,1.57,2.38,1.56,2.57,1.67,2.57,1.55,2.41,file
2024-01-02,Hong Kong Tennis Open,ATP250,Outdoor,Hard,1st Round,3,Musetti L.,Wong C.,27,253,Completed,1.2,4.5,1.24,4.45,1.24,4.65,1.2,4.35,file
2024-01-02,Hong Kong Tennis Open,ATP250,Outdoor,Hard,1st Round,3,Ofner S.,Mcdonald M.,43,41,Completed,2.75,1.44,2.72,1.51,2.78,1.51,2.66,1.46,file
2024-01-02,Hong Kong Tennis Open,ATP250,Outdoor,Hard,1st Round,3,Struff J.L.,Cilic M.,25,674,Completed,1.53,2.5,1.6,2.47,1.9,2.6,1.56,2.41,file
2024-01-03,Brisbane International,ATP250,Outdoor,Hard,2nd Round,3,Arnaldi M.,Klein L.,44,170,Completed,1.53,2.5,1.61,2.49,1.65,2.6,1.54,2.43,file
2024-01-03,Brisbane International,ATP250,Outdoor,Hard,2nd Round,3,Duckworth J.,Hanfmann Y.,116,51,Completed,1.91,1.91,1.93,1.98,1.96,1.98,1.89,1.88,file
2024-01-03,Brisbane International,ATP250,Outdoor,Hard,1st Round,3,Humbert U.,Michelsen A.,20,97,Completed,1.4,3,1.44,2.97,1.44,3.1,1.4,2.87,file
2024-01-03,Brisbane International,ATP250,Outdoor,Hard,2nd Round,3,Rune H.,Shevchenko A.,8,48,Completed,1.29,3.75,1.33,3.68,1.33,3.75,1.29,3.53,file
2024-01-03,Brisbane International,ATP250,Outdoor,Hard,2nd Round,3,Safiullin R.,Popyrin A.,39,40,Completed,1.53,2.5,1.53,2.68,1.55,2.68,1.52,2.49,file
2024-01-03,Hong Kong Tennis Open,ATP250,Outdoor,Hard,2nd Round,3,Kotov P.,Musetti L.,67,27,Completed,2.1,1.73,2.37,1.65,2.37,1.75,2.17,1.67,file
2024-01-03,Hong Kong Tennis Open,ATP250,Outdoor,Hard,2nd Round,3,Ruusuvuori E.,Khachanov K.,69,15,Completed,2.2,1.67,2.32,1.68,2.32,1.68,2.25,1.62,file
2024-01-03,Hong Kong Tennis Open,ATP250,Outdoor,Hard,2nd Round,3,Shang J.,Van De Zandschulp B.,183,50,Completed,2.3,1.62,2.6,1.55,2.6,1.65,2.37,1.57,file
2024-01-03,Hong Kong Tennis Open,ATP250,Outdoor,Hard,2nd Round,3,Tiafoe F.,Kecmanovic M.,16,54,Completed,1.8,2,1.82,2.08,1.91,2.1,1.79,2,file
2024-01-04,Brisbane International,ATP250,Outdoor,Hard,2nd Round,3,Dimitrov G.,Altmaier D.,14,56,Completed,1.14,5.5,1.13,7.16,1.15,7.16,1.13,5.83,file
2024-01-04,Brisbane International,ATP250,Outdoor,Hard,2nd Round,3,Hijikata R.,Machac T.,71,78,Completed,2.3,1.62,2.66,1.54,2.66,1.62,2.48,1.53,file
2024-01-04,Brisbane International,ATP250,Outdoor,Hard,2nd Round,3,Nadal R.,Kubler J.,672,102,Completed,1.14,5.5,1.17,5.93,1.18,5.93,1.15,5.22,file
2024-01-04,Brisbane International,ATP250,Outdoor,Hard,2nd Round,3,Thompson J.,Humbert U.,55,20,Walkover,2.5,1.53,2.59,1.56,2.6,1.56,2.54,1.5,file
2024-01-04,Hong Kong Tennis Open,ATP250,Outdoor,Hard,2nd Round,3,Bautista Agut R.,Cerundolo F.,57,21,Completed,1.4,3,1.47,2.9,1.47,3.2,1.41,2.85,file
2024-01-04,Hong Kong Tennis Open,ATP250,Outdoor,Hard,2nd Round,3,Fils A.,Huesler M.A.,36,194,Completed,1.4,3,1.44,3.02,1.46,3.05,1.4,2.91,file
2024-01-04,Hong Kong Tennis Open,ATP250,Outdoor,Hard,2nd Round,3,Ofner S.,Struff J.L.,43,25,Completed,2.2,1.67,2.14,1.79,2.25,1.82,2.09,1.73,file
2024-01-04,Hong Kong Tennis Open,ATP250,Outdoor,Hard,2nd Round,3,Rublev A.,Broady L.,5,108,Completed,1.08,8,1.11,7.85,1.11,8.01,1.09,7.05,file
2024-01-05,Brisbane International,ATP250,Outdoor,Hard,Quarterfinals,3,Dimitrov G.,Hijikata R.,14,71,Completed,1.13,6,1.13,7.11,1.14,7.13,1.13,5.88,file
2024-01-05,Brisbane International,ATP250,Outdoor,Hard,Quarterfinals,3,Rune H.,Duckworth J.,8,116,Completed,1.17,5,1.18,5.7,1.22,5.7,1.16,5.04,file
2024-01-05,Brisbane International,ATP250,Outdoor,Hard,Quarterfinals,3,Safiullin R.,Arnaldi M.,39,44,Completed,1.36,3.2,1.42,3.13,1.44,3.2,1.39,2.96,file
2024-01-05,Brisbane International,ATP250,Outdoor,Hard,Quarterfinals,3,Thompson J.,Nadal R.,55,672,Completed,6,1.13,6.62,1.18,6.62,1.18,5.54,1.14,file
2024-01-05,Hong Kong Tennis Open,ATP250,Outdoor,Hard,Quarterfinals,3,Ofner S.,Bautista Agut R.,43,57,Completed,3.2,1.36,2.85,1.48,3.2,1.48,2.83,1.42,file
2024-01-05,Hong Kong Tennis Open,ATP250,Outdoor,Hard,Quarterfinals,3,Rublev A.,Fils A.,5,36,Completed,1.3,3.5,1.32,3.71,1.32,3.83,1.29,3.54,file
2024-01-05,Hong Kong Tennis Open,ATP250,Outdoor,Hard,Quarterfinals,3,Ruusuvuori E.,Kotov P.,69,67,Completed,1.57,2.38,1.64,2.42,1.7,2.42,1.6,2.29,file
2024-01-05,Hong Kong Tennis Open,ATP250,Outdoor,Hard,Quarterfinals,3,Shang J.,Tiafoe F.,183,16,Completed,3.75,1.29,3.7,1.33,3.85,1.33,3.51,1.29,file
2024-01-06,Brisbane International,ATP250,Outdoor,Hard,Semifinals,3,Dimitrov G.,Thompson J.,14,55,Completed,1.22,4.33,1.26,4.34,1.26,4.34,1.23,4.07,file
2024-01-06,Brisbane International,ATP250,Outdoor,Hard,Semifinals,3,Rune H.,Safiullin R.,8,39,Completed,1.57,2.38,1.63,2.43,1.63,2.63,1.56,2.4,file
2024-01-06,Hong Kong Tennis Open,ATP250,Outdoor,Hard,Semifinals,3,Rublev A.,Shang J.,5,183,Completed,1.14,5.5,1.18,5.78,1.18,5.78,1.15,5.27,file
2024-01-06,Hong Kong Tennis Open,ATP250,Outdoor,Hard,Semifinals,3,Ruusuvuori E.,Ofner S.,69,43,Completed,1.57,2.38,1.67,2.35,1.67,2.4,1.62,2.28,file
2024-01-07,ASB Classic,ATP250,Outdoor,Hard,1st Round,3,Altmaier D.,Giron M.,57,60,Completed,2.63,1.5,2.46,1.61,2.63,1.61,2.49,1.52,file
2024-01-07,ASB Classic,ATP250,Outdoor,Hard,1st Round,3,Daniel T.,Vukic A.,74,63,Completed,1.73,2.1,1.74,2.21,1.84,2.6,1.72,2.1,file
2024-01-07,Brisbane International,ATP250,Outdoor,Hard,The Final,3,Dimitrov G.,Rune H.,14,8,Completed,1.91,1.91,2.03,1.88,2.03,2.03,1.93,1.86,file
2024-01-07,Hong Kong Tennis Open,ATP250,Outdoor,Hard,The Final,3,Rublev A.,Ruusuvuori E.,5,69,Completed,1.25,4,1.34,3.56,1.34,4.01,1.29,3.59,file
2024-01-08,ASB Classic,ATP250,Outdoor,Hard,1st Round,3,Borges N.,Michelsen A.,66,92,Completed,2.75,1.44,2.74,1.51,2.8,1.51,2.64,1.47,file
2024-01-08,ASB Classic,ATP250,Outdoor,Hard,1st Round,3,Carballes Baena R.,Bautista Agut R.,67,51,Completed,6,1.13,6.1,1.16,6.1,1.17,5.55,1.14,file
2024-01-08,ASB Classic,ATP250,Outdoor,Hard,1st Round,3,Marozsan F.,Monfils G.,65,75,Completed,2.5,1.53,2.59,1.56,2.65,1.56,2.53,1.51,file
2024-01-08,ASB Classic,ATP250,Outdoor,Hard,1st Round,3,Muller A.,Bonzi B.,79,110,Completed,2,1.8,2.02,1.88,2.1,1.88,1.97,1.82,file
2024-01-08,ASB Classic,ATP250,Outdoor,Hard,1st Round,3,Tabilo A.,Gojo B.,82,91,Completed,2.63,1.5,2.52,1.58,2.63,1.58,2.47,1.53,file
2024-01-08,ASB Classic,ATP250,Outdoor,Hard,1st Round,3,Van Assche L.,Wolf J.J.,87,54,Completed,2.3,1.62,2.21,1.74,2.3,1.74,2.19,1.66,file
2024-01-08,ASB Classic,ATP250,Outdoor,Hard,1st Round,3,Van De Zandschulp B.,Eubanks C.,59,34,Completed,1.44,2.75,1.44,2.98,1.46,3.1,1.41,2.83,file
2024-01-08,Adelaide International,ATP250,Outdoor,Hard,1st Round,3,Arnaldi M.,Zapata Miralles B.,41,77,Completed,1.13,6,1.17,5.65,1.17,6,1.15,5.29,file
2024-01-08,Adelaide International,ATP250,Outdoor,Hard,1st Round,3,Draper J.,Baez S.,62,26,Completed,1.17,5,1.2,5.07,1.22,5.07,1.2,4.46,file
2024-01-08,Adelaide International,ATP250,Outdoor,Hard,1st Round,3,Kecmanovic M.,Mcdonald M.,55,42,Completed,1.5,2.63,1.57,2.53,1.57,2.63,1.54,2.43,file
2024-01-08,Adelaide International,ATP250,Outdoor,Hard,1st Round,3,Lajovic D.,Kokkinakis T.,52,68,Completed,2.75,1.44,2.69,1.52,2.75,1.54,2.59,1.48,file
2024-01-08,Adelaide International,ATP250,Outdoor,Hard,1st Round,3,Shevchenko A.,Etcheverry T.,48,30,Completed,1.73,2.1,1.75,2.19,1.75,2.25,1.69,2.15,file
2024-01-09,ASB Classic,ATP250,Outdoor,Hard,2nd Round,3,Altmaier D.,Auger-Aliassime F.,57,27,Completed,3,1.4,3.2,1.41,3.2,1.42,2.96,1.39,file
2024-01-09,ASB Classic,ATP250,Outdoor,Hard,1st Round,3,Fils A.,Gasquet R.,35,76,Completed,1.33,3.4,1.35,3.48,1.4,3.5,1.34,3.19,file
2024-01-09,ASB Classic,ATP250,Outdoor,Hard,2nd Round,3,Muller A.,Cerundolo F.,79,22,Completed,2.38,1.57,2.24,1.74,2.4,1.75,2.23,1.64,file
2024-01-09,ASB Classic,ATP250,Outdoor,Hard,1st Round,3,Ofner S.,Shapovalov D.,37,116,Completed,1.8,2,1.94,1.94,1.94,2.36,1.8,1.99,file
2024-01-09,ASB Classic,ATP250,Outdoor,Hard,1st Round,3,Purcell M.,Pannu K.,45,716,Completed,1.04,13,1.06,12.27,1.07,13,1.04,10.18,file
2024-01-09,Adelaide International,ATP250,Outdoor,Hard,1st Round,3,Bolt A.,Seyboth Wild T.,325,78,Completed,1.73,2.1,1.93,1.96,1.93,2.1,1.83,1.96,file
2024-01-09,Adelaide International,ATP250,Outdoor,Hard,1st Round,3,Bublik A.,Mccabe J.,31,278,Completed,1.3,3.5,1.29,3.97,1.35,4.07,1.28,3.6,file
2024-01-09,Adelaide International,ATP250,Outdoor,Hard,1st Round,3,Evans D.,Hijikata R.,40,70,Completed,1.8,2,1.83,2.07,1.83,2.07,1.78,2.01,file
2024-01-09,Adelaide International,ATP250,Outdoor,Hard,1st Round,3,Lehecka J.,Walton A.,32,176,Completed,1.3,3.5,1.35,3.43,1.35,3.75,1.31,3.37,file
2024-01-09,Adelaide International,ATP250,Outdoor,Hard,1st Round,3,O Connell C.,Rinderknech A.,71,97,Completed,2.1,1.73,2.1,1.81,2.1,1.81,2.06,1.75,file
