date,tournament,series,court,surface,round,bestof,winner,loser,wrank,lrank,comment,b365w,b365l,psw,psl,maxw,maxl,avgw,avgl,avgsrc
2016-01-04,Brisbane International,ATP250,Outdoor,Hard,1st Round,3,Chung H.,Groth S.,51,60,Completed,1.83,1.83,1.93,1.96,1.93,2.1,1.82,1.95,file
2016-01-04,Brisbane International,ATP250,Outdoor,Hard,1st Round,3,Dimitrov G.,Simon G.,28,15,Completed,1.66,2.1,1.68,2.31,1.76,2.35,1.66,2.2,file
2016-01-04,Brisbane International,ATP250,Outdoor,Hard,1st Round,3,Kamke T.,Mitchell B.,277,231,Completed,1.72,2,1.9,1.99,1.9,2.1,1.77,2,file
2016-01-04,Brisbane International,ATP250,Outdoor,Hard,1st Round,3,Kudla D.,Smith J.P.,69,129,Completed,1.53,2.37,1.63,2.4,1.63,2.5,1.57,2.37,file
2016-01-04,Chennai Open,ATP250,Outdoor,Hard,1st Round,3,Coric B.,Granollers M.,44,84,Completed,1.44,2.62,1.45,2.96,1.45,3,1.42,2.8,file
2016-01-04,Chennai Open,ATP250,Outdoor,Hard,1st Round,3,Millman J.,Donskoy E.,92,91,Completed,1.5,2.5,1.6,2.47,1.62,2.53,1.56,2.38,file
2016-01-04,Chennai Open,ATP250,Outdoor,Hard,1st Round,3,Pavic A.,Almagro N.,449,73,Completed,3,1.36,3.05,1.43,3.2,1.45,2.88,1.4,file
2016-01-04,Qatar Exxon Mobil Open,ATP250,Outdoor,Hard,1st Round,3,Chardy J.,Zayid M. S.,31,1512,Completed,,51,1.01,51,1.01,51,1.01,26.32,file
2016-01-04,Qatar Exxon Mobil Open,ATP250,Outdoor,Hard,1st Round,3,Djokovic N.,Brown D.,1,118,Completed,1.01,21,1.01,24.11,1.03,33.5,1.01,16.74,file
2016-01-04,Qatar Exxon Mobil Open,ATP250,Outdoor,Hard,1st Round,3,Dzumhur D.,Cecchinato M.,82,90,Completed,1.44,2.62,1.48,2.84,1.57,2.84,1.48,2.6,file
2016-01-04,Qatar Exxon Mobil Open,ATP250,Outdoor,Hard,1st Round,3,Edmund K.,Klizan M.,102,43,Completed,1.66,2.1,1.83,2.07,1.83,2.15,1.75,2.05,file
2016-01-04,Qatar Exxon Mobil Open,ATP250,Outdoor,Hard,1st Round,3,Haase R.,Karatsev A.,66,195,Completed,1.5,2.5,1.5,2.76,1.58,2.76,1.52,2.49,file
2016-01-04,Qatar Exxon Mobil Open,ATP250,Outdoor,Hard,1st Round,3,Kuznetsov An.,Ilhan M.,79,114,Completed,1.5,2.5,1.59,2.49,1.62,2.62,1.54,2.43,file
2016-01-04,Qatar Exxon Mobil Open,ATP250,Outdoor,Hard,1st Round,3,Munoz-De La Nava D.,Lopez F.,75,17,Completed,4.5,1.18,5.11,1.2,5.25,1.2,4.7,1.18,file
2016-01-05,Brisbane International,ATP250,Outdoor,Hard,1st Round,3,Dodig I.,Anderson O.,87,813,Completed,1.06,10,1.07,10.95,1.09,10.95,1.06,8.73,file
2016-01-05,Brisbane International,ATP250,Outdoor,Hard,1st Round,3,Goffin D.,Bellucci T.,16,37,Completed,1.28,3.5,1.31,3.74,1.31,3.8,1.29,3.56,file
2016-01-05,Brisbane International,ATP250,Outdoor,Hard,1st Round,3,Kukushkin M.,Istomin D.,65,61,Completed,2,1.72,2.14,1.78,2.18,1.79,2.09,1.71,file
2016-01-05,Brisbane International,ATP250,Outdoor,Hard,1st Round,3,Pouille L.,Nishioka Y.,78,117,Completed,2.25,1.57,2.38,1.64,2.45,1.67,2.28,1.61,file
2016-01-05,Brisbane International,ATP250,Outdoor,Hard,1st Round,3,Stepanek R.,Lajovic D.,197,76,Completed,2,1.72,2,1.89,2.05,1.9,1.94,1.82,file
2016-01-05,Brisbane International,ATP250,Outdoor,Hard,1st Round,3,Thiem D.,Duckworth J.,20,120,Completed,1.33,3.25,1.37,3.33,1.37,3.55,1.32,3.29,file
2016-01-05,Brisbane International,ATP250,Outdoor,Hard,1st Round,3,Tomic B.,Mahut N.,18,71,Completed,1.18,4.5,1.19,5.25,1.25,5.25,1.2,4.42,file
