date,tournament,series,court,surface,round,bestof,winner,loser,wrank,lrank,comment,b365w,b365l,psw,psl,maxw,maxl,avgw,avgl,avgsrc
2011-01-02,Brisbane International,ATP250,Outdoor,Hard,1st Round,3,Istomin D.,De Bakker T.,40,43,Completed,1.9,1.8,2.12,1.79,2.1,1.85,1.99,1.76,file
2011-01-02,Brisbane International,ATP250,Outdoor,Hard,1st Round,3,Lopez F.,Petzschner P.,32,57,Completed,1.53,2.37,1.67,2.33,1.67,2.6,1.58,2.36,file
2011-01-03,Brisbane International,ATP250,Outdoor,Hard,1st Round,3,Berrer M.,Sela D.,58,75,Completed,1.83,1.83,1.98,1.91,2.01,1.91,1.91,1.82,file
2011-01-03,Brisbane International,ATP250,Outdoor,Hard,1st Round,3,Dolgopolov O.,Andreev I.,48,79,Completed,1.53,2.37,1.56,2.59,1.67,2.61,1.58,2.32,file
2011-01-03,Brisbane International,ATP250,Outdoor,Hard,1st Round,3,Giraldo S.,Simon G.,64,41,Completed,3.5,1.28,3.82,1.3,3.82,1.38,3.25,1.32,file
2011-01-03,Brisbane International,ATP250,Outdoor,Hard,1st Round,3,Kubot L.,Brands D.,70,104,Completed,1.72,2,1.78,2.15,1.91,2.16,1.8,1.94,file
2011-01-03,Brisbane International,ATP250,Outdoor,Hard,1st Round,3,Mayer F.,Tomic B.,37,208,Completed,1.36,3,1.41,3.1,1.44,3.15,1.39,2.88,file
2011-01-03,Brisbane International,ATP250,Outdoor,Hard,1st Round,3,Roddick A.,Matosevic M.,8,138,Completed,1.06,8,1.09,8.65,1.11,9.05,1.08,7.15,file
2011-01-03,Chennai Open,ATP250,Outdoor,Hard,1st Round,3,Dodig I.,Daniel M.,88,96,Completed,1.3,3.4,1.37,3.35,1.38,4,1.32,3.24,file
2011-01-03,Chennai Open,ATP250,Outdoor,Hard,1st Round,3,Kendrick R.,Gremelmayr D.,115,121,Completed,1.5,2.5,1.54,2.64,1.62,2.65,1.55,2.38,file
2011-01-03,Chennai Open,ATP250,Outdoor,Hard,1st Round,3,Nishikori K.,Cilic M.,98,14,Completed,3.25,1.33,3.29,1.37,3.4,1.45,2.9,1.39,file
2011-01-03,Chennai Open,ATP250,Outdoor,Hard,1st Round,3,Phau B.,Bolelli S.,102,107,Completed,1.72,2,1.8,2.11,1.82,2.15,1.73,2.03,file
