date,tournament,series,court,surface,round,bestof,winner,loser,wrank,lrank,comment,b365w,b365l,psw,psl,maxw,maxl,avgw,avgl,avgsrc
2007-12-31,Chennai Open,International,Outdoor,Hard,1st Round,3,Malisse X.,Muller G.,112,117,Completed,1.5,2.5,1.571,2.65,1.571,2.65,1.507,2.535,computed
2007-12-31,Chennai Open,International,Outdoor,Hard,1st Round,3,Melzer J.,Capdeville P.,60,102,Completed,1.4,2.75,1.429,3.13,1.5,3.13,1.4426,2.735,computed
2007-12-31,Chennai Open,International,Outdoor,Hard,1st Round,3,Roger-Vasselin E.,Vardhan V.,97,944,Completed,,,,,,,,,
2007-12-31,Chennai Open,International,Outdoor,Hard,1st Round,3,Serra F.,Navarro-Pastor I.,92,124,Completed,1.4,2.75,1.465,2.95,1.5,2.95,1.4518,2.691,computed
2007-12-31,Chennai Open,International,Outdoor,Hard,1st Round,3,Youzhny M.,Vanek J.,19,101,Completed,1.11,6,1.154,6.88,1.154,6.88,1.1298,5.896,computed
2007-12-31,Next Generation Adelaide International,International,Outdoor,Hard,1st Round,3,Becker B.,Smeets R.,84,150,Completed,1.4,2.75,1.538,2.76,1.538,2.85,1.4276,2.792,computed
2007-12-31,Next Generation Adelaide International,International,Outdoor,Hard,1st Round,3,Llodra M.,Simon G.,93,29,Completed,2.5,1.5,2.34,1.694,2.5,1.694,2.423,1.5534,computed
2007-12-31,Next Generation Adelaide International,International,Outdoor,Hard,1st Round,3,Querrey S.,Darcis S.,63,86,Completed,1.53,2.37,1.667,2.4,1.667,2.4,1.592,2.329,computed
2007-12-31,Next Generation Adelaide International,International,Outdoor,Hard,1st Round,3,Russell M.,Del Potro J.M.,82,44,Completed,3.75,1.25,3.55,1.364,3.75,1.364,3.57,1.2928,computed
2007-12-31,Next Generation Adelaide International,International,Outdoor,Hard,1st Round,3,Sirianni J.,Stepanek R.,195,30,Retired,6.5,1.1,5.94,1.184,6.5,1.184,5.948,1.1298,computed
2007-12-31,Next Generation Adelaide International,International,Outdoor,Hard,1st Round,3,Zverev M.,Mayer F.,88,55,Completed,1.72,2,1.893,2.02,1.92,2.02,1.8384,1.932,computed
2007-12-31,Qatar Exxon Mobil Open,International,Outdoor,Hard,1st Round,3,Berrer M.,Haji A.,57,N/A,Completed,1.04,10,1.047,17.25,1.047,18,1.0357,15.0833,computed
2007-12-31,Qatar Exxon Mobil Open,International,Outdoor,Hard,1st Round,3,Johansson T.,Andreev I.,62,33,Completed,2,1.72,2.32,1.704,2.32,1.727,2.1,1.7122,computed
2007-12-31,Qatar Exxon Mobil Open,International,Outdoor,Hard,1st Round,3,Kohlschreiber P.,Hernandez O.,32,58,Completed,1.1,6.5,1.161,6.61,1.161,6.61,1.1184,6.27,computed
2007-12-31,Qatar Exxon Mobil Open,International,Outdoor,Hard,1st Round,3,Lee H.T.,Mirnyi M.,51,152,Completed,1.57,2.25,1.524,2.78,1.571,2.78,1.533,2.452,computed
2007-12-31,Qatar Exxon Mobil Open,International,Outdoor,Hard,1st Round,3,Ljubicic I.,Koubek S.,18,47,Completed,1.53,2.37,1.599,2.57,1.6,2.57,1.5618,2.394,computed
2007-12-31,Qatar Exxon Mobil Open,International,Outdoor,Hard,1st Round,3,Santoro F.,Seppi A.,37,50,Completed,1.72,2,1.735,2.26,1.78,2.26,1.7444,2.05,computed
2007-12-31,Qatar Exxon Mobil Open,International,Outdoor,Hard,1st Round,3,Volandri F.,Hartfield D.,40,89,Completed,1.8,1.9,1.952,1.952,1.952,1.952,1.8605,1.9155,computed
2008-01-01,Chennai Open,International,Outdoor,Hard,1st Round,3,Cilic M.,Troicki V.,71,127,Completed,1.44,2.62,1.581,2.62,1.581,2.625,1.487,2.583,computed
2008-01-01,Chennai Open,International,Outdoor,Hard,1st Round,3,Eschauer W.,Salva B.,66,326,Completed,1.4,2.75,1.513,2.8,1.513,2.8,1.4614,2.661,computed
2008-01-01,Chennai Open,International,Outdoor,Hard,1st Round,3,Garcia-Lopez G.,Peya A.,90,187,Completed,1.53,2.37,1.69,2.35,1.69,2.37,1.5967,2.3533,computed
2008-01-01,Chennai Open,International,Outdoor,Hard,1st Round,3,Haase R.,Baghdatis M.,114,16,Completed,4.5,1.16,4.75,1.241,4.75,1.25,4.14,1.2302,computed
2008-01-01,Chennai Open,International,Outdoor,Hard,1st Round,3,Kudryavtsev A.,Amritraj P.,255,278,Completed,1.53,2.37,,,1.53,2.37,1.53,2.37,computed
2008-01-01,Chennai Open,International,Outdoor,Hard,1st Round,3,Mahut N.,Haase R.,45,114,Completed,,,,,,,,,
2008-01-01,Chennai Open,International,Outdoor,Hard,1st Round,3,Moya C.,Gabashvili T.,17,125,Completed,1.05,9,1.061,14,1.063,14,1.0548,9.79,computed
2008-01-01,Chennai Open,International,Outdoor,Hard,1st Round,3,Nadal R.,Montcourt M.,2,123,Completed,1.01,15,1.036,23,1.04,23,1.0272,14.25,computed
2008-01-01,Chennai Open,International,Outdoor,Hard,1st Round,3,Ram R.,Schukin Y.,253,122,Completed,1.53,2.37,1.641,2.46,1.641,2.46,1.5855,2.415,computed
2008-01-01,Chennai Open,International,Outdoor,Hard,1st Round,3,Vliegen K.,Gicquel M.,98,70,Completed,2.2,1.61,2.19,1.775,2.2,1.8,2.098,1.7164,computed
2008-01-01,Chennai Open,International,Outdoor,Hard,1st Round,3,Zovko L.,Ascione T.,759,94,Completed,2.62,1.44,3.7,1.333,3.7,1.44,3.14,1.3743,computed
2008-01-01,Next Generation Adelaide International,International,Outdoor,Hard,1st Round,3,Acasuso J.,Falla A.,65,81,Completed,1.8,1.9,2.03,1.885,2.03,1.95,1.8606,1.8976,computed
2008-01-01,Next Generation Adelaide International,International,Outdoor,Hard,1st Round,3,Dancevic F.,Bolelli S.,72,67,Completed,1.57,2.25,1.645,2.45,1.7,2.45,1.6112,2.278,computed
2008-01-01,Next Generation Adelaide International,International,Outdoor,Hard,1st Round,3,Guccione C.,Odesnik W.,91,126,Completed,1.57,2.25,1.592,2.59,1.67,2.59,1.6006,2.308,computed
2008-01-01,Next Generation Adelaide International,International,Outdoor,Hard,1st Round,3,Gulbis E.,Golubev A.,61,177,Completed,1.4,2.75,1.51,2.81,1.51,2.81,1.4367,2.77,computed
2008-01-01,Next Generation Adelaide International,International,Outdoor,Hard,1st Round,3,Hewitt L.,Sela D.,21,64,Completed,1.14,5,1.222,5.1,1.222,5.2,1.1758,4.83,computed
2008-01-01,Next Generation Adelaide International,International,Outdoor,Hard,1st Round,3,Korolev E.,Jones A.,80,131,Completed,,,,,,,,,
2008-01-01,Next Generation Adelaide International,International,Outdoor,Hard,1st Round,3,Mathieu P.H.,Benneteau J.,25,68,Completed,1.44,2.62,1.538,2.76,1.538,2.76,1.4876,2.6,computed
2008-01-01,Next Generation Adelaide International,International,Outdoor,Hard,1st Round,3,Nieminen J.,Klec I.,27,224,Completed,1.16,4.5,1.2,5.5,1.2,5.5,1.1814,4.67,computed
2008-01-01,Next Generation Adelaide International,International,Outdoor,Hard,1st Round,3,Spadea V.,Grosjean S.,77,53,Completed,2.87,1.38,2.94,1.467,3.1,1.467,2.843,1.4182,computed
2008-01-01,Next Generation Adelaide International,International,Outdoor,Hard,1st Round,3,Tsonga J.W.,Hanescu V.,43,76,Completed,1.28,3.5,1.364,3.55,1.364,3.55,1.322,3.37,computed
2008-01-01,Qatar Exxon Mobil Open,International,Outdoor,Hard,1st Round,3,Calleri A.,Robredo T.,42,10,Completed,2.62,1.44,2.81,1.51,2.81,1.51,2.666,1.458,computed
2008-01-01,Qatar Exxon Mobil Open,International,Outdoor,Hard,1st Round,3,Davydenko N.,Dorsch B.,4,215,Completed,1.08,7,1.111,8.75,1.111,8.75,1.0982,7.05,computed
2008-01-01,Qatar Exxon Mobil Open,International,Outdoor,Hard,1st Round,3,Kiefer N.,de Chaunac S.,49,377,Completed,1.12,5.5,1.187,5.84,1.187,5.84,1.1444,5.488,computed
2008-01-01,Qatar Exxon Mobil Open,International,Outdoor,Hard,1st Round,3,Murray A.,Rochus O.,11,48,Completed,1.16,4.5,1.212,5.31,1.22,5.31,1.1944,4.5386,computed
2008-01-01,Qatar Exxon Mobil Open,International,Outdoor,Hard,1st Round,3,Rochus C.,Karlovic I.,194,22,Completed,5,1.14,5.9,1.185,5.9,1.185,5.15,1.1584,computed
2008-01-01,Qatar Exxon Mobil Open,International,Outdoor,Hard,1st Round,3,Schuettler R.,Pavel A.,99,75,Completed,2.1,1.66,2.14,1.806,2.14,1.806,2.0398,1.7572,computed
2008-01-01,Qatar Exxon Mobil Open,International,Outdoor,Hard,1st Round,3,Tipsarevic J.,Ventura S.,52,87,Completed,1.16,4.5,1.227,5,1.227,5,1.1894,4.6066,computed
2008-01-01,Qatar Exxon Mobil Open,International,Outdoor,Hard,1st Round,3,Tursunov D.,Montanes A.,34,46,Completed,1.12,5.5,1.185,5.92,1.185,6.4,1.1424,5.564,computed
2008-01-01,Qatar Exxon Mobil Open,International,Outdoor,Hard,1st Round,3,Wawrinka S.,Martin A.,36,143,Completed,1.22,4,1.226,5.03,1.25,5.03,1.2252,4.2226,computed
2008-01-02,Chennai Open,International,Outdoor,Hard,2nd Round,3,Malisse X.,Melzer J.,112,60,Completed,1.57,2.25,1.719,2.29,1.719,2.29,1.626,2.236,computed
2008-01-02,Chennai Open,International,Outdoor,Hard,2nd Round,3,Moya C.,Kudryavtsev A.,17,255,Completed,1.05,9,1.061,14,1.061,14,1.0528,10.2375,computed
2008-01-02,Chennai Open,International,Outdoor,Hard,2nd Round,3,Serra F.,Vliegen K.,92,98,Completed,2,1.72,2.18,1.781,2.18,1.833,2.0326,1.7568,computed
2008-01-02,Chennai Open,International,Outdoor,Hard,2nd Round,3,Youzhny M.,Roger-Vasselin E.,19,97,Completed,1.12,5.5,1.137,7.58,1.137,7.58,1.1193,6.295,computed
2008-01-02,Next Generation Adelaide International,International,Outdoor,Hard,2nd Round,3,Becker B.,Russell M.,84,82,Completed,1.83,1.83,2.28,1.725,2.28,1.83,2.132,1.692,computed
2008-01-02,Next Generation Adelaide International,International,Outdoor,Hard,2nd Round,3,Llodra M.,Korolev E.,93,80,Completed,1.83,1.83,1.87,2.05,1.87,2.08,1.8006,1.9586,computed
2008-01-02,Next Generation Adelaide International,International,Outdoor,Hard,2nd Round,3,Mathieu P.H.,Guccione C.,25,91,Completed,1.4,2.75,1.442,3.06,1.442,3.06,1.3964,2.896,computed
2008-01-02,Next Generation Adelaide International,International,Outdoor,Hard,2nd Round,3,Sirianni J.,Querrey S.,195,63,Completed,3,1.36,3.31,1.398,3.35,1.398,3.222,1.3442,computed
2008-01-02,Qatar Exxon Mobil Open,International,Outdoor,Hard,2nd Round,3,Calleri A.,Lee H.T.,42,51,Completed,1.66,2.1,1.746,2.24,1.746,2.24,1.6886,2.128,computed
2008-01-02,Qatar Exxon Mobil Open,International,Outdoor,Hard,2nd Round,3,Davydenko N.,Santoro F.,4,37,Completed,1.14,5,1.167,6.4,1.2,6.4,1.1594,5.2666,computed
2008-01-02,Qatar Exxon Mobil Open,International,Outdoor,Hard,2nd Round,3,Johansson T.,Berrer M.,62,57,Completed,1.44,2.62,1.45,3.02,1.5,3.05,1.434,2.788,computed
2008-01-02,Qatar Exxon Mobil Open,International,Outdoor,Hard,2nd Round,3,Kohlschreiber P.,Volandri F.,32,40,Completed,1.19,4.33,1.25,4.6,1.286,4.6,1.2292,4.156,computed
2008-01-02,Qatar Exxon Mobil Open,International,Outdoor,Hard,2nd Round,3,Ljubicic I.,Tipsarevic J.,18,52,Walkover,1.3,3.4,1.323,3.8,1.323,3.8,1.2986,3.514,computed
2008-01-02,Qatar Exxon Mobil Open,International,Outdoor,Hard,2nd Round,3,Murray A.,Schuettler R.,11,99,Completed,1.07,7.5,1.082,11.25,1.1,11.25,1.0904,7.75,computed
