date,tournament,series,court,surface,round,bestof,winner,loser,wrank,lrank,comment,b365w,b365l,psw,psl,maxw,maxl,avgw,avgl,avgsrc
2010-01-04,Brisbane International,ATP250,Outdoor,Hard,1st Round,3,Bellucci T.,Chela J.I.,36,73,Completed,1.61,2.2,1.758,2.22,1.758,2.22,1.672,2.154,computed
2010-01-04,Brisbane International,ATP250,Outdoor,Hard,1st Round,3,Falla A.,Chardy J.,81,32,Completed,2.62,1.44,2.58,1.581,2.62,1.581,2.556,1.4962,computed
2010-01-04,Brisbane International,ATP250,Outdoor,Hard,1st Round,3,Gasquet R.,Nieminen J.,52,88,Completed,1.44,2.62,1.526,2.74,1.533,2.74,1.4958,2.553,computed
2010-01-04,Brisbane International,ATP250,Outdoor,Hard,1st Round,3,Gicquel M.,Petzschner P.,58,80,Completed,1.61,2.2,1.676,2.36,1.676,2.36,1.6436,2.212,computed
2010-01-04,Brisbane International,ATP250,Outdoor,Hard,1st Round,3,Levy H.,Llodra M.,119,67,Completed,3,1.36,2.17,1.787,3,1.787,2.679,1.4768,computed
2010-01-04,Brisbane International,ATP250,Outdoor,Hard,1st Round,3,Odesnik W.,Clement A.,105,63,Completed,2.25,1.57,2.14,1.813,2.25,1.813,2.218,1.635,computed
2010-01-04,Brisbane International,ATP250,Outdoor,Hard,1st Round,3,Roddick A.,Luczak P.,7,77,Completed,1.08,7,1.121,7.83,1.13,7.83,1.1134,6.366,computed
2010-01-04,Brisbane International,ATP250,Outdoor,Hard,1st Round,3,Stepanek R.,Millman J.,12,306,Completed,1.04,10,1.087,9.95,1.087,10,1.0474,9.64,computed
2010-01-04,Chennai Open,ATP250,Outdoor,Hard,1st Round,3,Cilic M.,Kunitsyn I.,14,104,Completed,1.12,5.5,1.151,6.63,1.151,6.63,1.1332,5.626,computed
2010-01-04,Chennai Open,ATP250,Outdoor,Hard,1st Round,3,De Bakker T.,Ram R.,96,79,Completed,1.9,1.8,2.11,1.833,2.11,1.833,1.9252,1.8198,computed
2010-01-04,Chennai Open,ATP250,Outdoor,Hard,1st Round,3,Giraldo S.,Phau B.,107,111,Completed,2,1.72,2.14,1.813,2.14,1.813,1.9816,1.7866,computed
2010-01-04,Chennai Open,ATP250,Outdoor,Hard,1st Round,3,Hajek J.,Greul S.,103,59,Completed,2.62,1.44,2.75,1.524,2.75,1.524,2.564,1.4928,computed
2010-01-04,Chennai Open,ATP250,Outdoor,Hard,1st Round,3,Tipsarevic J.,Moya C.,38,446,Completed,1.4,2.75,1.433,3.11,1.444,3.11,1.4154,2.817,computed
2010-01-04,Qatar Exxon Mobil Open,ATP250,Outdoor,Hard,1st Round,3,Chiudinelli M.,Lorenzi P.,56,84,Completed,1.33,3.25,1.333,3.71,1.35,3.71,1.3292,3.302,computed
2010-01-04,Qatar Exxon Mobil Open,ATP250,Outdoor,Hard,1st Round,3,Gulbis E.,Montanes A.,90,31,Completed,1.4,2.75,1.426,3.14,1.426,3.14,1.3878,2.928,computed
2010-01-04,Qatar Exxon Mobil Open,ATP250,Outdoor,Hard,1st Round,3,Karlovic I.,Fognini F.,37,54,Completed,1.36,3,1.376,3.41,1.4,3.41,1.372,2.987,computed
